"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",25640,27280,22080,9400,1520,960,2600,640,2000,1720,1720,2120,38680,17000,31400,5040,1840,1960,1760,720,1720,1560,1200,1480
"B",53080,40920,58080,24960,1480,920,840,1880,2160,840,1640,1000,45800,38520,39560,12480,2000,480,1680,1600,2480,2000,2080,1120
"C",74520,62520,71120,15760,1480,720,1840,1480,2760,1280,1120,1200,73760,54760,47680,8280,6920,1720,920,2280,2560,2400,1520,1880
"D",78480,69120,75680,30640,4200,2960,2680,1720,2280,1880,1200,1480,59200,80600,74520,48560,8800,1280,3920,1960,1560,2640,3160,1240
"E",83760,137400,104120,71680,26480,7880,11400,4720,5680,8000,3640,360,91920,141320,95160,98280,15400,10240,7800,7840,5000,7560,3880,1120
"F",116000,140680,182160,119640,54880,28480,15920,13240,23440,18000,11680,5080,108280,114560,174360,112200,36840,39760,23200,20280,15120,15840,11760,3560
"G",141880,140000,216320,153440,94800,43320,34240,32360,20800,31320,18160,10200,193840,226840,137360,145840,139280,59080,8480,51320,37960,26240,25440,12040
"H",162800,139520,144080,253640,123880,91480,50600,25880,46880,36400,23480,16360,131200,209320,193800,168920,104320,81640,67280,38840,50720,18280,25600,13480
"I",164920,168640,225280,219960,225440,67320,52240,65280,46400,49080,38560,14720,147080,192680,141280,134920,155400,88680,66160,70680,48440,30040,34080,12120
"J",162320,183320,155320,210520,162320,93440,47800,59960,46160,76560,26400,14880,229080,152880,174560,148160,197000,128360,77200,42800,51400,36240,34760,16680
"K",186280,203840,198640,181400,125120,65680,93480,49040,49760,34680,21880,6480,180280,141080,146600,198000,152120,100160,42600,77160,63600,31600,23960,14560
"L",191880,191680,152520,146880,144560,114400,65400,51680,54600,35240,25760,18160,210520,199360,158680,166560,188200,110320,90560,74640,48400,17680,38440,17440
"M",34400,38520,32920,92080,102360,162800,199280,172320,211360,190440,155360,220320,8240,26960,24640,56200,69960,66160,118000,91280,177360,163000,161480,131000
"N",31480,44360,50520,77040,143720,170040,171760,197640,217640,217600,179520,179360,7480,33600,40560,59440,72120,78760,51680,133680,241520,128440,206760,184560
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155480,179400,221920,131440,148400,222200,171120,235200,131000,202560,155960,127200
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141880,218040,217520,193400,121200,174600,118720,207920,240360,184480,251600,151840
