"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",1800,2440,1680,2560,2440,2040,2320,1440,2160,2560,2080,8000,1960,960,2800,1040,2160,2200,2240,840,2400,1680,1520,19640
"B",2200,1240,2240,2240,7520,1600,1560,2360,2240,1160,4880,59680,2120,1760,2160,2400,2200,1480,1480,2400,2720,1840,4920,33800
"C",66520,99640,70800,73640,67720,63320,82160,79720,94160,71680,68400,69200,98000,80320,8400,32200,81440,73800,11680,35000,86800,87240,102560,89240
"D",103040,99840,105400,61360,44760,98760,107240,99960,103800,107320,75200,82680,101960,104400,100840,103200,103000,107280,98120,95680,95440,101600,92440,96280
"E",52600,110840,113680,106880,112840,55720,103960,76000,103560,107720,103920,73880,104040,104720,88760,103680,104320,100360,108800,103360,98520,98800,104080,80040
"F",116440,103560,118760,104360,109360,113160,79160,105240,104720,102800,113560,102360,116840,85840,110040,105280,86880,112000,98120,117240,101960,105480,97560,100680
"G",119560,122240,116840,114760,113000,116000,115960,109000,71440,117240,88400,107720,120360,119320,117160,117760,120680,113000,77880,114760,123400,89160,112000,103360
"H",124000,123000,123080,121640,122880,122400,119040,57720,112760,119520,103400,92440,73000,120120,120000,127760,116520,95720,122760,114360,118840,90440,75960,104680
"I",131960,133040,128560,132440,131320,126400,125000,129760,136320,128720,126000,71760,132920,126880,131960,132600,133360,129520,135560,109800,132360,130120,92200,83440
"J",141280,124440,133440,134560,136240,139840,112240,136360,111760,140160,108080,97400,136040,123600,132960,139720,135400,138040,138560,121600,127520,128680,123480,111360
"K",126040,130600,144040,134320,135320,132880,127160,132400,132560,136880,129840,51120,133320,110520,115680,107120,130760,134440,110400,133920,133640,132600,128320,115760
"L",131880,133960,130400,115920,130200,136400,134560,116040,127280,130200,131520,117000,137000,141400,137800,127080,134880,119680,126280,133160,137000,115760,127640,109680
"M",2160,2000,61440,99400,82840,106760,121320,122040,131320,130160,142440,142080,105240,131920,142160,137920,128840,135680,136760,119040,120520,142480,138760,138240
"N",1840,2320,10360,71160,108720,115240,113480,121240,140680,142960,132600,140600,66960,132520,133880,132160,132720,130080,133080,137400,126840,139280,132720,138400
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113600,140040,137680,123800,140440,132320,137280,142200,126080,128440,134800,142160
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135880,139400,135200,137080,140680,138600,138480,136320,138840,137400,138840,140440
