"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",163720,179920,165640,160560,183240,181120,174600,167280,179680,164640,168000,9200,175160,167960,186040,154720,170680,176920,169560,179240,199360,181880,162520,10720
"B",160120,233400,192000,172400,169640,191480,219920,164600,165400,176360,181520,7880,170800,180720,174600,168240,167520,203880,187280,205360,167240,169400,165600,10000
"C",168440,183360,169040,207360,172480,156120,168160,171760,170400,240880,148000,8720,172280,162120,175360,198440,181200,173760,196680,171520,184960,181760,154600,10440
"D",175080,164280,205400,189000,162240,216920,186480,165120,173800,163160,155440,10720,175080,180280,175880,224640,183960,202240,177320,175920,172040,173320,176240,8800
"E",158680,179040,174760,180800,183120,174600,168440,178560,174200,180840,178760,15600,180000,208040,200440,188920,171480,186920,177160,171720,182360,189840,170880,8720
"F",194800,234320,196840,171760,185440,180800,179960,187080,190840,180280,171120,10280,244240,184880,186640,179760,171880,186480,183840,173960,181400,174720,162880,9280
"G",187600,185920,188800,194720,190760,182800,210480,184800,200840,181000,183800,10720,181680,181920,234640,178640,204720,187600,229240,187520,185080,179480,155280,11440
"H",179360,194760,184720,177640,203400,180480,181000,174480,183320,173520,169720,11880,177480,193480,196520,231960,191480,178160,206840,192920,192640,213160,139640,6640
"I",186360,210800,175880,180440,185840,244200,177520,176040,184640,237480,146040,10600,179760,186000,191920,187360,183840,176440,184120,176000,177880,167560,148280,12680
"J",212800,193720,185960,175840,176560,171680,209080,168680,167800,236200,133760,12200,175640,223720,180080,187320,224360,173760,180960,220080,187840,178480,146320,13200
"K",167520,178440,187000,182320,195000,180320,188320,173040,207440,191520,166840,13040,207040,235120,209800,196680,213240,188160,217360,173320,171200,172120,155400,12760
"L",197520,221040,182200,169240,188520,177800,177960,187600,175160,177440,141800,11480,171560,194080,181880,204160,178800,175880,175960,172920,204720,217280,160920,12880
"M",170760,159600,189680,171000,204360,184920,185720,182120,172920,177680,179400,181640,11720,139560,177880,175920,206440,184560,182320,188480,177760,207120,182600,180360
"N",165560,173000,162800,162120,189360,192280,210320,229120,201080,198400,192720,182560,10760,140640,179600,177680,171280,172960,184560,178640,181640,200160,186800,192400
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192320,179400,193120,180160,183320,176440,197080,193160,186240,191440,208000,181800
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206320,185800,175360,182640,186920,168400,181280,176640,190880,191040,196560,181040
