"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",91880,75080,76000,63800,58440,72240,52200,56840,50240,21280,4800,3400,101800,61880,82520,88320,58520,46960,76320,40160,54000,15200,3320,2760
"B",73040,94640,78920,83280,91880,91080,70000,79920,74280,50320,5720,1800,97400,84720,90320,91560,88680,76560,76000,81640,63240,6920,5520,2040
"C",153920,152800,124040,157640,101520,93280,112080,82560,96080,27080,5000,1920,122960,136000,148920,110440,111240,95560,86520,105360,105960,61720,6440,2840
"D",177360,146920,191680,140440,114400,166680,132160,92640,117720,50800,5200,2520,141840,141960,134920,156240,156320,133960,117480,117880,107800,62920,3280,3040
"E",177440,207880,192560,160680,153480,136520,155320,111040,110520,75280,13320,760,169040,181520,187120,196120,173480,126680,129280,111520,124600,86440,10080,1840
"F",174240,190520,229880,142280,167960,157120,160040,119400,107920,96120,16160,3560,214120,204560,172600,149880,173560,149400,187040,143760,127520,95000,8640,3160
"G",219320,185760,181400,167880,199440,185520,157280,153600,112040,116240,19880,3040,224280,237200,227400,223680,168880,183240,144440,152440,173480,116080,10600,3040
"H",222440,183560,210320,194920,184800,196840,176200,122640,151000,121720,10680,2160,178040,187520,248080,223680,180280,162880,174440,184520,153040,98680,14320,2600
"I",227360,190560,193800,214160,207600,195640,150560,191920,189200,170280,13400,2240,225840,230680,225440,232880,192480,179960,221040,181520,197800,153720,39160,1520
"J",193160,197800,232000,189200,185680,240560,195520,156680,175480,126720,56040,1680,221480,194680,243360,227280,216880,202680,203480,190000,184880,144720,47520,2840
"K",141160,180320,177000,201280,214680,170760,184560,197560,194320,162040,59200,1560,232080,178480,203440,171720,191920,182400,186400,168600,164320,151640,45280,3240
"L",194440,203520,208960,195080,180680,205280,197440,152120,193680,153040,35000,3120,207320,185880,188800,159520,224160,170680,153920,183160,196520,102640,61960,3240
"M",72360,121680,154520,193480,179120,185960,201560,192600,181000,223400,211080,227920,1680,53320,162560,158400,192600,172640,183720,150840,192840,205040,195560,211680
"N",47520,88680,157120,136560,190960,206880,229480,205160,209640,205320,191240,179760,2360,54480,146520,168400,160360,194640,193040,180040,206320,217360,173600,190680
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183520,206280,187840,205520,174280,197560,213920,213680,133240,151600,185880,218480
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244360,201960,178880,177600,216000,203320,222040,221200,211520,227520,218400,203760
