"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",209040,197880,258680,221920,223280,167240,167480,105880,118160,104280,70160,39640,229880,175080,289920,183640,226600,213040,179640,91480,116520,82960,77520,39640
"B",260200,214240,265440,279200,149640,198040,128680,161200,135120,115920,83480,33920,274400,223120,219200,244200,201840,189520,174920,169200,144960,102080,88320,28800
"C",270920,259120,250280,259880,214480,190080,189040,144240,161640,82040,71480,34400,235960,283320,242280,192640,230760,190800,147160,190320,151680,130560,91040,48400
"D",257800,237640,265000,255920,168600,265400,252240,189600,154080,122720,84480,49560,267560,220520,243760,301280,262880,219160,211800,189080,140560,159600,67240,52000
"E",229440,308520,343120,263520,258760,206920,228880,156120,168920,148040,88360,32120,298680,248760,293280,270840,271280,235880,192720,194760,190960,163000,99760,39040
"F",258960,319760,315320,269400,255240,287840,202920,212640,190280,161440,124160,48880,256280,297880,291320,256160,286360,265720,261120,182840,193120,177160,97080,43880
"G",290400,274400,323280,268360,311680,284360,224240,198960,162160,186800,118640,28600,284240,303520,238920,257560,293640,268760,199400,239040,199560,162080,104720,36480
"H",271280,244200,253120,268560,237960,255000,206640,176360,210680,190480,105560,36720,234440,256120,266560,272520,265640,247800,253840,260560,195560,174040,118720,80800
"I",237520,268720,252920,266440,264800,271200,236560,211920,202720,181600,119320,62680,287840,326760,285240,294960,254160,243480,236800,230600,230720,191640,148360,66920
"J",256200,294800,243640,277680,243920,286640,248040,216720,220880,205000,170280,52280,286120,255880,250920,241760,278360,268200,272560,233280,230640,192040,125400,95880
"K",256200,302160,240120,271960,264600,226880,231840,218120,231280,220600,146360,70360,272200,230880,285960,251800,270280,255760,235800,255280,196360,172400,127120,43240
"L",236080,243920,309720,254040,248000,218520,280560,217200,202360,172440,137880,20360,250600,250440,267720,262680,259840,245720,243720,240760,221920,156400,173360,29280
"M",232760,232120,243840,282440,236400,284760,246560,274200,278720,262200,246960,226840,68680,144440,193200,199160,206640,238960,261160,236160,265040,233760,249280,266840
"N",244520,203560,204240,239040,306120,251400,277600,302920,272600,241440,233480,225000,35440,151160,187920,196400,218560,239200,261840,232280,292760,284680,286560,229880
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280720,228520,227120,291960,230240,307080,257840,290160,243920,255040,219840,241240
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226040,225320,285040,275960,330440,262320,230000,231120,218880,228680,273920,246880
