"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",98160,100480,98160,103440,96480,86240,77080,71040,64560,62720,57800,53120,110920,91720,104040,92920,91160,86160,78240,68200,67560,64040,64600,50480
"B",105680,109840,125960,117800,89560,87960,77680,74080,70720,70760,62360,52480,117440,114080,110600,113160,93640,88040,77480,75160,75160,69320,61680,53080
"C",130600,110080,117800,116560,98240,88120,89120,77560,74960,71520,66360,52760,122800,115120,110520,110920,105320,81520,76160,80440,75760,66040,64920,60000
"D",114600,136520,134800,117600,109760,100320,91520,77040,90840,72080,69960,61280,116680,122680,123600,131440,106520,103640,92960,84320,77160,79640,63120,58440
"E",145200,165800,152560,142720,116680,97360,96120,91400,79960,80640,77760,62320,140320,158400,143320,158840,119960,99360,110920,91800,80560,77200,68200,57400
"F",210640,169200,151760,178800,130080,151360,118000,117800,102600,94960,77680,78080,188920,183280,177640,189400,153080,158560,126840,98560,94520,101000,91920,66640
"G",213440,227520,221000,193520,186080,156120,139920,130440,100960,123880,95360,71440,224960,180000,196520,170960,178800,144520,118360,137600,107680,104960,99560,79240
"H",176120,164960,178800,165160,145640,79800,137000,113760,111600,128440,102840,80920,185840,142680,143160,145600,146320,162200,155360,135880,116240,108280,80480,82800
"I",152200,139880,163800,140800,156320,211920,147920,142640,133320,145400,109600,88200,168160,137360,138880,179760,198600,142400,130040,117680,143840,111720,111440,84080
"J",172520,173600,182520,155520,137920,158520,151160,145080,120160,121160,104360,64640,156640,160800,158360,192760,139160,137640,161240,136200,107080,123000,111200,75000
"K",155560,141160,136560,146880,139040,139640,126960,108160,109000,135880,114280,70840,156560,153920,158360,160000,141280,128640,141720,155400,108960,113440,98360,88880
"L",134440,173800,188680,141200,133520,125200,128040,123000,115440,116280,90440,67840,150720,141360,138600,166680,162720,141840,162360,157200,118160,114240,93000,76160
"M",108840,102560,129280,125440,143000,167440,191640,151400,154320,159120,133200,134800,65480,88120,114840,109880,115200,130280,179640,164320,169520,140120,157480,176520
"N",102400,110720,125480,112920,153640,226240,159760,183160,171160,145200,137760,161320,72320,118560,99400,117040,124720,134080,147520,131720,177720,189000,138480,174360
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151440,148320,135480,155000,155600,152600,155800,143760,186200,144400,147800,137080
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164440,173640,161840,135520,208200,125400,173040,139000,129000,198200,160800,129400
