"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",64920,94440,101680,92800,105000,76840,60080,19400,40680,26440,19640,6760,96960,55880,115400,88000,93080,75240,60520,16480,29440,21560,17400,5200
"B",92440,63880,108280,112200,33520,50680,35760,43760,41240,23920,19440,3320,105240,91360,103200,106480,89360,58080,56720,48120,46040,29320,22760,2440
"C",113840,100120,102960,121600,61680,48760,73600,50440,46920,13240,14640,3280,97600,111520,99720,51000,90800,53720,32840,54840,49680,34800,26560,10200
"D",124400,92080,121440,107760,47760,85800,72000,40040,58920,37760,14640,7200,115480,111400,96560,103520,110640,87920,69320,58200,39120,39880,7720,13200
"E",71640,146440,147840,126480,121480,71280,97160,50920,55680,55040,39800,2200,129800,106520,123000,123200,122400,86760,85560,78760,68840,44080,34240,4360
"F",152040,162040,179040,138320,168840,129760,89320,61840,80440,54280,33800,29400,153080,158080,155680,123080,96320,155920,95160,94400,73680,64480,27240,22200
"G",187080,192200,214200,203160,198640,181400,176200,105120,50960,111000,54720,53320,214320,213800,2e+05,204880,186000,178960,53680,152160,109640,75560,65960,46240
"H",229200,190000,204080,217000,222480,169480,216600,65400,166560,180040,99920,63840,235240,245360,252400,223160,212360,219000,225200,206360,205040,79120,40880,114560
"I",205920,295200,221160,234720,269360,250960,205800,242920,278040,244920,252760,210280,263320,288720,254520,234640,211040,250960,284320,235520,225640,254400,163280,244360
"J",274240,268240,227320,296800,287840,225560,319600,255440,320600,238520,279720,176720,345040,270720,247480,304920,291360,312280,231640,330280,271240,245520,219640,263240
"K",277800,279920,285440,233800,270200,186080,276040,205080,273160,241960,298640,231160,263320,278120,344400,262680,302240,271160,261200,291720,259800,262720,228160,218640
"L",201000,249800,259560,275320,229640,231000,239920,258040,302800,219960,289840,229520,292640,305200,255200,304760,216640,276280,307080,328240,303880,264240,222960,299560
"M",103840,94880,105520,115320,102360,141760,200280,231160,237520,263400,231640,212360,255640,213920,328000,249880,223640,314800,280960,277640,283400,292400,297560,292560
"N",91880,93320,80840,78720,111840,168120,217560,255000,224680,229320,221080,274400,206640,227600,258000,230360,282720,263440,306560,290920,336400,242520,250120,237840
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280920,270480,291520,342440,225840,289160,228360,259160,272760,277400,223320,254240
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285920,272760,235560,236120,292480,208280,217080,240440,222560,215800,311280,226200
