"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",100160,147960,141840,91120,83920,34200,26440,55400,75240,99400,111080,87600,78640,39480,24600,6760,6280,4360,2200,4680,4520,31800,77960,91600
"B",33880,41680,1720,3320,4440,11920,8880,14960,23840,37120,54320,70600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125280
"C",41200,50800,1600,4800,6400,7400,8120,30520,46080,77600,77760,66720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87280
"D",35880,31520,1840,3720,4640,7280,9000,40240,31280,27440,17480,18160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50880
"E",20480,23680,2400,4840,6920,11040,16240,43160,33920,25880,23560,13840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56480
"F",22920,18920,1960,2800,4760,7120,14040,34200,21840,18160,11680,8680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46360
"G",16560,24440,3240,4240,6680,9320,10240,29720,7840,10720,11680,13160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51120
"H",8280,15400,9720,4840,2600,2160,4360,3560,3440,6040,3680,5000,2840,3760,2200,9040,11880,6520,3000,3920,4600,17360,29480,52360
"I",21640,20600,3760,3400,6800,8040,9160,16920,4040,4560,2840,3720,2160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40520
"J",17080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71640
"K",7400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44000
"L",11880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31640
"M",19200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98240
"N",30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43360
"O",62840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43800
"P",52920,14440,14280,5200,1080,1400,2480,7560,5360,2480,1480,2280,2400,1440,1120,1720,5320,7240,1400,2200,4400,9360,62920,157360
