"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",745640,712360,716680,741720,735480,739560,742800,718400,754160,762440,766440,770560,778480,768080,777160,777920,803120,768120,746320,733400,745320,768880,753760,793960
"B",707120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762200
"C",721360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769000
"D",686480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752240
"E",692480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777600
"F",698120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751400
"G",694560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747200
"H",701000,693440,688320,698640,681000,703520,693760,695440,675960,691640,695400,702920,697360,685120,688480,691240,693320,768840,698000,658840,779120,701520,702800,752280
"I",675920,691160,NA,NA,NA,713520,713120,704960,691880,708400,701000,710600,707360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,773240
"J",723600,76040,NA,NA,NA,104520,175680,90480,150960,139480,126280,124200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,767040
"K",687960,626240,NA,NA,NA,628360,603000,645920,613120,636120,608800,612680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738600
"L",693600,691760,NA,NA,NA,713640,669640,688680,689400,687000,685520,685480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751280
"M",685400,665880,NA,NA,NA,695600,677200,671840,686480,679400,680120,669200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737160
"N",692440,669480,NA,NA,NA,705720,704960,698400,695280,678160,690520,695800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,765240
"O",681240,696920,NA,NA,NA,680280,705760,708760,710920,700440,689360,690040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719960
"P",702160,697200,711680,695560,705800,714480,689200,683920,704800,712560,728160,729440,766960,734080,716720,704280,719680,707560,718440,697600,693080,687720,730120,755000
