"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",275320,199560,219160,398320,322960,140600,159120,224040,275040,185160,260640,289800,229640,213760,335760,187320,189200,241800,398640,314680,431480,243000,291440,385040
"B",301760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237280
"C",200800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282760
"D",156760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248040
"E",162960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192080
"F",219720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199880
"G",160360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273760
"H",359360,169400,126240,223200,151080,235000,322960,240640,163480,203640,227840,227080,193240,203440,129680,212280,302640,177520,209080,187880,160880,202400,185680,260200
"I",194280,273600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245920,32240,17800,25080,5440,7040,23920,42280,96360,187120,281840,217720
"J",169520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137760,16720,12240,11760,3600,3280,8280,22200,109240,182680,158040,225760
"K",167560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165640,10560,9080,8040,5440,5320,5440,38120,129960,193320,197200,210160
"L",185320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330440,23040,18640,5040,7840,2360,10280,41840,123680,145160,209840,179040
"M",180840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135560,32960,30480,15800,10320,6520,11240,39480,206720,185800,176320,201400
"N",199880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202360,28880,29160,20840,4760,2720,12920,66240,168160,187400,199280,258840
"O",91720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164120,20600,27920,13320,5360,4480,9480,79960,179120,236760,186360,308840
"P",455840,242200,339400,231560,281760,209640,199320,168080,169000,139320,90200,120040,284520,116440,106880,162920,105200,73200,73520,59280,138480,146640,79160,214280
