"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",189080,314080,217600,169040,465440,328280,391760,393080,470680,238640,253480,237800,365000,206960,228240,188920,360800,391800,151160,158200,174240,192800,269680,149640
"B",170560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282520
"C",420920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240440
"D",274520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293240
"E",172880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159320
"F",466000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223640
"G",258680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148160
"H",179520,173600,163520,166240,237440,162400,269760,183480,165520,160400,347960,233680,262080,390520,158440,262240,310960,297320,206600,164440,262760,351720,386680,164000
"I",291840,166960,307920,306280,211960,111480,119360,254520,303920,284440,268400,156640,231400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249320
"J",165840,3480,3840,3960,2880,2640,2680,3160,3360,3240,3320,3560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238120
"K",165520,321320,160680,122480,107760,81200,101680,129680,90520,103400,106800,113520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159120
"L",163160,490680,265880,218960,198600,161600,100560,108800,115200,210640,148400,161520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297600
"M",168600,442240,146480,214400,207760,196920,195640,220400,155160,259200,159880,154000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327600
"N",157760,169320,328120,251920,134520,86680,122480,120040,139840,157160,161560,188080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272840
"O",397160,335560,368640,239320,236760,144080,167840,220680,145440,144240,154240,247880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358080
"P",166760,489400,357680,276200,346040,163640,163280,242640,328760,312760,519480,319120,298840,370920,574960,436640,247040,196680,333080,332480,281200,160000,514960,275840
