"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",329440,331560,305640,293360,310960,314840,306880,299280,314640,298080,325840,311320,324680,330480,317360,295280,321000,302120,319160,304240,293880,294680,304400,282120
"B",264640,323640,305800,288320,280440,283160,304040,291040,279400,304800,301400,285240,302800,320840,295320,284240,312240,289520,260560,266440,295400,274240,291040,269440
"C",320040,208360,225000,229600,234760,224440,258240,247760,222800,239360,235280,319400,231920,245360,252960,237240,232240,214600,224840,235000,238000,236120,215720,269280
"D",298560,236720,236000,252560,244320,225600,236440,240320,268640,257600,253400,315720,260560,259600,248080,265240,262520,256000,261320,251840,240640,229960,267040,292240
"E",305920,250520,249280,249880,249880,270440,261800,263640,233000,271320,255840,308160,246040,260320,272960,280560,265960,240320,275400,268760,266120,256080,275880,279960
"F",298480,218240,228120,246000,247920,255280,245680,263360,255600,267320,239360,3e+05,246680,249640,291200,245440,227480,244560,251360,250480,215040,252240,240040,292000
"G",308880,237920,242720,248400,266760,252000,223560,261680,285000,290920,270400,312480,280960,284200,285920,267200,278560,242880,250520,218800,252400,248720,287440,309560
"H",271000,235360,239760,241520,228800,241880,210880,270920,272880,289120,264200,298240,282480,266000,292360,287200,264440,231480,235360,232680,225760,226640,251400,314440
"I",265760,263080,250120,251480,252440,250480,252000,263920,301560,312040,274960,321800,316520,240280,307720,295080,254480,233160,253920,247240,263240,235640,273640,297720
"J",275280,217880,238760,233040,232280,240640,236360,249000,302280,290320,264040,299040,299000,274280,276480,275000,266880,235200,236120,223600,229720,235520,279360,293800
"K",293880,291400,297720,278920,303160,281120,298560,307520,321280,294280,297080,303840,309240,282440,320280,284160,288840,277640,293800,259880,290080,289960,306880,289000
"L",241280,226080,216520,235520,208080,216000,214480,248360,267880,271320,248120,278920,264600,254080,261400,271320,250280,219880,230960,230040,226000,234920,250160,275000
"M",249160,262680,276480,269960,276280,272880,278760,271000,293040,279040,295040,255200,289840,273680,289200,267840,283400,261920,251600,279200,283520,255760,291280,283920
"N",269000,240120,236000,205400,224880,200160,226560,242880,254040,232240,262280,251840,250640,316800,298000,261440,256480,257680,270960,260480,249640,259520,249520,244600
"O",270280,253520,230320,253240,267280,266720,274680,274680,275760,259360,271160,245440,278840,281600,235320,263640,271400,269000,280040,261160,277920,237280,268000,256960
"P",293520,261280,242600,249160,251360,251600,247320,263000,279720,270360,259880,274400,255840,252960,273000,246360,253880,240960,231080,228280,242640,217240,251520,297120
