"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",487520,501920,521880,519200,519480,548720,546240,566400,562440,555000,568760,573640,565080,563640,551440,554480,546400,559080,556680,536960,525800,513880,471640,504080
"B",480280,481720,487760,488360,514880,528640,519760,520760,542080,536480,549040,553800,547400,549840,537360,543680,540840,536560,538680,533440,517400,486320,460600,504680
"C",478360,25040,26480,22440,23680,24880,26520,30960,32400,37080,37120,551400,36520,39320,34360,32640,30320,27760,23480,24560,23920,27240,28520,521880
"D",462760,36040,41040,34200,37320,39800,46440,56600,69360,80040,85840,538920,84480,89080,81720,67920,55360,48640,37880,39480,37600,43040,36240,511800
"E",486320,42680,48080,41120,42320,49160,61320,82800,107640,71000,121160,528160,151240,145240,128240,99640,83080,60080,52000,48480,45600,55800,47440,508240
"F",469600,44480,52440,47480,48000,52240,66560,97080,134560,159840,173160,524400,174080,134080,159680,128240,97040,71800,45840,49160,50440,61560,63320,499760
"G",476040,66400,71160,53800,61280,76040,106000,153000,186200,216120,231520,513720,233560,224640,215520,177880,133560,113520,71280,66440,60200,89800,84560,494560
"H",457400,108160,132200,115360,119400,148360,213680,281640,358600,392840,411400,514400,415520,408480,409640,372960,306920,221680,149760,123720,138440,176960,140280,505400
"I",473840,185480,200080,169920,181320,202240,323880,392880,452560,453280,471320,492760,484120,482240,472120,440640,382320,320880,206760,186080,179240,243840,247600,514280
"J",460440,179320,225520,187640,200800,247040,351440,433800,462000,467840,479720,487800,483080,492640,479120,465760,417920,362840,246280,209280,202800,286440,218400,508000
"K",449680,447880,445160,451640,473560,470520,470640,485680,480960,481440,489200,485480,477640,483720,480800,471000,486840,470120,477200,478320,482560,466880,473200,486560
"L",442280,188360,272520,233960,238400,267240,359360,425160,461920,473760,473800,482000,480360,475480,469120,464800,432880,371080,286120,217240,215400,289880,227720,489640
"M",437400,427760,441040,451760,459800,459360,472760,471280,465000,466080,467000,473600,478280,475000,473400,470880,460320,462920,457640,465840,456840,443720,449400,466440
"N",435520,424560,447200,32640,73160,134160,151640,207760,390520,430560,460680,472320,466920,474120,467320,462320,468080,454000,472600,454320,459680,450040,443520,461520
"O",428240,431720,444800,448440,469880,466320,476560,460480,468200,474160,476720,456920,472520,477440,464240,468080,459040,466160,475640,465640,458240,445880,428920,440320
"P",446280,432600,446680,453600,465720,472000,465640,464400,481720,489560,504760,487360,491280,508840,490920,487720,492640,497640,481120,479040,464840,458040,456480,468720
