"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",270520,288320,341560,240240,241760,278720,240120,241360,306960,235200,280640,249880,254320,287120,284120,233120,240040,299040,304440,362440,240960,230320,311240,251200
"B",340240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243880
"C",253400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235680
"D",251640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240560
"E",237240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266320
"F",232320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293000
"G",234880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226680
"H",227480,226760,315920,231640,230480,225400,285160,223240,222000,266000,220800,216680,213760,325600,265400,307480,280520,227800,330160,220880,226840,306720,306840,227880
"I",238880,235040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213400,220000,225120,219320,323040,223680,280920,220760,225320,230000,306680,225280
"J",232600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263520,225160,225200,314080,221440,217480,238880,219040,212600,330360,218520,224160
"K",242600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221000,228680,224240,332040,246000,303840,220920,287280,296320,223000,219160,223560
"L",238040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270440,220800,278920,218000,224920,254520,248800,220880,267160,218320,265560,224240
"M",334520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316400,225240,223120,222440,220920,225880,226680,224440,218480,219400,218120,272640
"N",240040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225160,234600,280840,328880,225800,281920,223120,305720,286520,220600,222640,233040
"O",243400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276200,231080,291200,223800,312040,222960,339280,225520,252360,222040,223320,238840
"P",257320,245240,245280,244920,289960,235200,234960,238400,236320,283520,249760,246800,250760,235040,298920,226240,230480,297440,349160,276600,345720,224520,225600,238440
