"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",148200,88520,101000,46160,82160,59400,60560,48680,95400,145400,108360,113760,105600,85640,66720,63080,64560,91520,74880,83080,150720,137280,197840,243200
"B",187960,149760,147600,169080,114080,101880,87120,153040,125840,184400,92120,117960,68040,52520,27480,30520,51440,42080,48360,31320,43880,48000,59720,116400
"C",45240,122360,112720,113480,109280,119600,114480,109360,121200,94040,112800,47840,100120,132440,117480,132080,126680,125400,134520,131320,119040,114960,115880,193720
"D",60600,167280,135040,124720,131200,133640,135000,128600,131200,116880,125880,43840,124400,141440,145720,148480,144160,130560,138800,136040,135560,135200,153400,51160
"E",30800,183920,160600,146960,100320,132040,148680,141000,133640,117960,130760,38040,145880,154160,145000,145120,156640,140040,150280,143400,142120,163240,181560,41720
"F",29400,184480,174200,176920,144680,161120,160560,154120,141080,141000,152560,30800,141160,149720,162520,163000,176480,151800,157920,168680,177360,165960,126920,56400
"G",34120,47160,55840,123600,167640,155440,155720,157120,153320,156680,155600,39640,161160,164400,164280,158480,160680,156000,159320,163600,125360,39840,56840,40960
"H",25960,51440,36520,50600,70320,146480,167840,170760,155880,162320,163000,31560,156520,179480,175240,159200,149440,175160,148360,72120,48360,45840,63440,29400
"I",25640,60440,30640,29840,22640,30040,69560,111080,83040,97320,94920,34440,78200,105800,115800,113640,99800,88880,41760,34440,27000,23080,39520,22600
"J",38040,45720,25800,23440,16880,29480,44320,32320,39000,53280,38400,29840,69200,43920,41320,48840,43000,43320,21760,24600,26560,32080,39880,9640
"K",28960,30920,33280,32120,31920,27920,33560,34040,29320,22960,23160,24800,27160,29760,34960,28560,19760,33880,18640,26680,27760,22600,26640,28360
"L",30960,49080,34720,27320,15360,16040,30520,24160,24520,32520,30080,39600,28000,36280,34640,34320,28040,28360,18600,13160,17000,21680,40040,33840
"M",45720,42080,27720,40560,24880,28840,16320,39240,32800,36720,22840,33840,26480,19080,26920,30880,18400,36000,25320,22920,28200,23520,29680,27400
"N",55240,34760,39560,107440,116960,126840,141560,139600,148240,125560,59160,19720,6960,31440,26400,28960,26680,22120,29560,28320,39840,34520,44000,30920
"O",124640,88040,60680,70000,36760,32640,26800,32480,29320,26640,28840,31040,25640,25440,21880,20880,31520,21840,24960,23000,30920,28400,48880,32480
"P",104760,56200,106080,119960,100160,55320,37320,35520,41280,42760,27360,39720,33960,24160,28360,26720,30160,32160,23800,25960,25600,29640,33440,58400
