"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",324040,290560,297480,315560,307040,331240,302920,369080,422120,310120,287320,349240,318440,354200,317600,315360,340400,317920,328360,335080,296360,296160,303880,313240
"B",353560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318360
"C",282400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313720
"D",390560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316520
"E",310440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338080
"F",297440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328840
"G",291360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305080
"H",289280,284600,306560,346320,340760,309960,297200,332520,310000,296280,290320,284080,287320,437040,286000,305120,267040,281400,367800,309600,3e+05,328880,272440,349480
"I",309320,277120,200360,337440,274280,296560,274560,288480,318880,293560,273760,285040,282840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314640
"J",303480,3880,4160,3840,5240,3760,3440,3520,3720,3560,3280,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328920
"K",315360,33280,200200,269320,38960,74440,103440,2560,8320,13040,9240,17880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323480
"L",298600,307560,212760,260520,308240,328840,88920,3640,301280,321800,294920,302040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301720
"M",286080,297920,216920,290680,289120,357960,288760,301000,302480,302600,298360,294240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345960
"N",297960,289880,223080,290640,289760,318600,297200,311760,292680,294720,332400,305120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316160
"O",303680,187320,129000,233400,191160,194800,193440,193040,198920,214680,194040,192960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307400
"P",309760,322240,328000,395200,354000,369080,356960,359720,351080,338280,445440,350040,334600,358000,391080,340960,318360,305200,308040,357840,333760,336600,319480,298040
