"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",279400,217720,236880,207920,152560,151720,78320,172760,190560,175120,104320,85080,124320,64880,98960,81000,115440,116280,70400,65240,92680,115040,197040,256520
"B",99120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208720
"C",60080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74440
"D",4240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69680
"E",680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93800
"F",24560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97320
"G",7920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85760
"H",30280,53240,32920,41880,60040,49040,34840,53120,66000,56400,43640,39600,57360,40320,43360,62320,70720,79720,83040,66160,96760,69360,85560,60120
"I",43840,69200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36760,1760,1480,2240,2600,2960,26240,63760,66640,81640,54720,88680
"J",43200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216760,154520,165200,193680,192320,195880,196680,215160,208720,245200,244600,64200
"K",60480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205640,15200,44840,104280,130040,147000,154440,182280,185400,219640,221000,87440
"L",72560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188360,1680,5960,92960,109200,92840,125040,134240,157680,214800,179600,89720
"M",141560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187160,1560,1880,58640,118080,87360,156560,165200,203520,195160,186640,122080
"N",64160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176080,1440,1080,30440,73840,97520,123680,133760,163920,175360,180080,114280
"O",87800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115120,880,640,1080,13880,43520,62360,90360,138880,134720,150400,95640
"P",31760,116080,480,55960,440,46200,280,10960,280,3040,360,560,480,640,520,83200,920,111880,1080,46200,1160,69000,1600,235160
