"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",696920,788560,607080,639840,632640,618680,646680,651920,660840,620440,743920,695600,717200,632200,666400,660560,639960,644040,731280,653960,675560,734240,719480,720640
"B",717120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,683880
"C",663680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666240
"D",618720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715520
"E",645320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,683040
"F",604040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665600
"G",615720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,677320
"H",619040,597400,546040,578000,538400,509920,564400,527280,529720,531560,549880,496880,545720,530640,511400,535920,545160,649760,507200,530880,544320,647680,622480,705520
"I",665880,573560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,507360,601040,781360,422120,361880,358560,472480,602480,623640,613480,629760,651560
"J",599240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612320,468880,274600,195760,145120,149000,187080,270920,472160,546640,630760,666480
"K",678640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623160,419080,365400,191440,166720,155760,219680,345120,502640,586600,638480,657920
"L",628240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580360,334840,297600,201120,184720,170080,233200,370240,543320,565720,632520,643480
"M",699000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569840,389080,379600,228000,202600,174280,248960,426960,531640,563200,607200,650080
"N",681160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608720,438040,396800,255960,214480,209240,293200,480720,562640,595880,665480,657840
"O",786160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608720,475280,470520,350360,301320,271280,390760,564960,581200,586680,651600,685080
"P",750960,749880,699200,593040,587720,597520,599840,784960,591960,564680,578160,666040,600400,579680,576720,600400,665120,636520,586520,565960,612320,562600,628200,774240
