"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",745640,712360,716680,741720,735480,739560,742800,718400,754160,762440,766440,770560,778480,768080,777160,777920,803120,768120,746320,733400,745320,768880,753760,793960
"B",707120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72920,NA,NA,NA,61000,60040,62080,64200,65280,60360,66000,762200
"C",721360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108480,NA,NA,NA,96320,85800,91800,90200,98760,96200,96400,769000
"D",686480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164000,NA,NA,NA,146440,129280,143840,149960,148240,128720,134160,752240
"E",692480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444800,NA,NA,NA,327760,319680,333200,323640,361280,316680,316440,777600
"F",698120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625920,NA,NA,NA,580800,559600,606440,611520,602600,608200,586240,751400
"G",694560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719600,NA,NA,NA,769200,727840,693560,684360,711480,706160,697680,747200
"H",701000,693440,688320,698640,681000,703520,693760,695440,675960,691640,695400,702920,697360,685120,688480,691240,693320,768840,698000,658840,779120,701520,702800,752280
"I",675920,691160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707360,NA,NA,NA,647240,699320,687040,674840,684720,687880,718040,773240
"J",723600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,767040
"K",687960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738600
"L",693600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751280
"M",685400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737160
"N",692440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,765240
"O",681240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719960
"P",702160,697200,711680,695560,705800,714480,689200,683920,704800,712560,728160,729440,766960,734080,716720,704280,719680,707560,718440,697600,693080,687720,730120,755000
