"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",100160,147960,141840,91120,83920,34200,26440,55400,75240,99400,111080,87600,78640,39480,24600,6760,6280,4360,2200,4680,4520,31800,77960,91600
"B",33880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125280
"C",41200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87280
"D",35880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50880
"E",20480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56480
"F",22920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46360
"G",16560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51120
"H",8280,15400,9720,4840,2600,2160,4360,3560,3440,6040,3680,5000,2840,3760,2200,9040,11880,6520,3000,3920,4600,17360,29480,52360
"I",21640,20600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2160,3720,7520,6200,10360,20200,16840,5200,6720,11320,25080,40520
"J",17080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5520,2320,6200,6520,24600,8560,19080,32720,18960,26320,29520,71640
"K",7400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5600,4920,3520,4320,11560,11600,40880,16240,16680,29240,39920,44000
"L",11880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2280,3880,5400,4440,6440,11600,10800,4520,3400,20640,42680,31640
"M",19200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3040,6880,4920,9040,11640,18080,13840,9640,7560,16280,16440,98240
"N",30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5160,6840,5800,6680,10880,17720,8960,5000,9280,13560,13600,43360
"O",62840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7200,5560,6920,5560,7720,38600,19840,12640,8600,13000,42720,43800
"P",52920,14440,14280,5200,1080,1400,2480,7560,5360,2480,1480,2280,2400,1440,1120,1720,5320,7240,1400,2200,4400,9360,62920,157360
