"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",486280,474200,446720,468120,547920,504080,551880,507320,469400,482840,460320,464680,501680,501320,427960,405640,348400,339760,306560,344120,370800,378800,403400,472120
"B",328360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536480
"C",303720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495360
"D",255000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513800
"E",332840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490880
"F",318800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566160
"G",278840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541160
"H",288280,205640,284560,428560,417960,436280,441240,410560,448640,431440,383000,422720,384320,406400,453280,424680,344520,389720,407800,462320,439800,473200,471600,551560
"I",260640,282320,164280,197560,267240,262840,239840,292240,293960,311960,298800,365760,398720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516840
"J",237320,3720,3040,2800,2960,3120,3480,3840,4000,4480,4400,5880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527920
"K",310200,8560,4680,2920,4880,4840,3960,6280,20320,24320,15720,21520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519480
"L",341640,140320,67160,44520,44240,60760,41760,80880,136440,121840,129720,220560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538480
"M",287360,185480,146320,148840,204720,164000,102640,247120,238560,206240,196440,280280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518080
"N",298160,244840,215760,275800,242920,280360,314240,236840,225120,237680,327120,338800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519160
"O",393720,236280,117520,146120,167960,174960,165280,93200,149880,227240,218880,223920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481120
"P",459760,507400,559520,548800,578680,578200,558880,471360,437200,414760,237560,512560,423080,453480,391400,420720,448480,446280,448240,500120,472600,520080,551960,556800
