"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",940240,950600,924240,928120,889280,915000,993920,887480,926400,957840,937800,933360,903960,940160,942400,981400,871560,899920,938640,939960,933920,910760,981240,960040
"B",905480,471760,NA,NA,NA,193200,189320,286960,316920,364000,401920,421560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,901160
"C",1010480,744280,NA,NA,NA,301480,292320,452000,691000,683560,631080,696560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,931520
"D",935640,885320,NA,NA,NA,307480,299160,491480,628480,668800,696360,721120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,929000
"E",905280,799160,NA,NA,NA,308840,321520,465080,626000,689120,723720,742560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,921440
"F",929200,769920,NA,NA,NA,301720,318840,470040,561080,709160,739880,754760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,921000
"G",893840,811600,NA,NA,NA,328960,322120,505680,741320,682040,748280,728160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903120
"H",1052400,765920,847680,749800,774200,758440,792400,758120,741000,760800,744720,699960,736080,761920,809000,751920,833520,791040,777400,759200,794000,792200,764480,932160
"I",862560,825640,NA,NA,NA,335520,294480,490480,594280,680280,737440,777240,777240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,881040
"J",837200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,893720
"K",860440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,872200
"L",882640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,878800
"M",875920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,882000
"N",865160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871440
"O",849480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,875600
"P",869680,839960,848200,832600,826960,840320,881520,915160,864160,860520,860160,847400,875480,830480,853400,868200,881200,911960,885080,866080,866480,891000,830240,893800
