"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",407480,370400,431480,458640,434800,462800,429800,405920,390360,415280,347000,385960,389120,442360,403120,450280,426080,464960,441400,543520,401680,431200,461880,491800
"B",412560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410760
"C",398080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441000
"D",407920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419640
"E",388040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396880
"F",382240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452120
"G",408320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454000
"H",416920,386760,379280,399880,344080,344560,395960,373480,366080,373680,357920,331440,415880,552080,388760,495680,475480,407680,356200,434880,453720,392960,424240,437720
"I",400880,389360,277680,265720,309800,221400,230440,295920,254960,311840,295000,321120,381760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438960
"J",365800,345040,37840,187680,129200,379560,190640,244320,256920,252800,43120,260000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430400
"K",375960,341120,287600,241840,233440,210720,199680,219640,414720,303840,361440,365080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411320
"L",386560,513280,246720,207800,242400,229840,234240,246800,314800,270640,309480,367880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418720
"M",360920,359800,285360,229560,193680,204480,236520,232680,269600,308360,290200,337800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390360
"N",418920,334720,294320,259920,219520,216600,209800,295000,267320,306240,360480,360720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437320
"O",422920,365360,231280,241880,249920,224720,279160,238360,309000,299600,329680,365040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409360
"P",438320,367640,344600,382520,407640,338080,387920,372440,387520,411680,430560,432800,532560,401760,390440,375120,441200,351760,443360,491440,428120,383160,395080,514600
