"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",319800,237160,221080,281880,240920,226880,301480,303560,351680,311360,232160,261160,252680,291640,225400,284120,297080,290600,290160,277680,288360,240320,247520,266320
"B",280760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3920,3440,2440,2840,2400,2720,2600,2680,2440,2680,2960,282400
"C",295200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22120,20000,12080,10280,6000,9480,11000,11440,19200,26800,17920,273560
"D",314800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107160,67480,84720,66680,69360,66600,95320,60440,94400,74680,111720,237160
"E",310080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181440,158000,187760,120440,163760,178000,199480,193440,218040,188160,203960,302840
"F",218360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257480,258840,204680,241520,245240,238440,265880,173200,161360,164320,280520,291000
"G",220160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302760,196120,219640,197320,235480,273440,259400,163240,214160,272600,233320,223360
"H",309240,226120,222680,214040,286640,213360,221000,204600,267800,225600,307480,226960,242680,292000,283400,291720,294360,284520,291000,210120,296920,292400,295480,240080
"I",295160,335840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289840,151240,197120,212000,214040,149400,203840,246080,290640,275240,316200,328800
"J",367200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337000
"K",291680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321240
"L",327640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296840
"M",246600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319640
"N",223640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267840
"O",313560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232040
"P",327720,220040,229280,224280,209720,212880,302840,346360,281240,288880,307240,234120,299880,267240,250040,244360,365360,287800,305160,318600,251320,239960,246280,307880
