"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",374040,354440,370600,388000,352680,389600,486480,340440,377880,354240,410400,443040,315400,411040,419640,440720,392920,393240,383120,416800,418800,397880,402880,335160
"B",354520,343640,382680,387240,367480,383560,485000,428120,442040,407160,473320,474320,484680,386520,419720,424480,429960,369480,452320,444560,407400,365600,495280,444800
"C",384800,474360,672160,651080,724120,724600,691160,639400,790480,751760,628600,446600,625680,711080,539760,688040,628240,635280,562160,645320,541800,536720,501440,378440
"D",342200,516600,746960,742440,784280,691120,845200,796880,825360,698960,884960,486280,805840,854360,888800,895360,829160,738000,814000,774640,456480,733320,752840,398160
"E",352400,545480,707480,659960,723640,861320,897600,705240,709400,917800,819120,351880,826480,884400,811520,752440,836080,786400,635080,681840,728360,606880,642000,369080
"F",342960,475360,534520,719680,629280,912640,846360,719240,847040,675240,674560,401200,725360,746320,905880,835880,881880,830760,767280,714560,655520,679200,546960,342440
"G",341280,445880,468600,492600,549640,617000,771560,551840,739720,758480,785320,353440,796080,893040,839880,682360,456080,729760,600440,541760,535840,481800,445880,335680
"H",336760,415120,502600,580040,479680,545960,586400,554440,674960,651520,697080,363000,631720,578160,620840,746120,735680,568280,612600,542520,492080,451800,477400,421360
"I",353200,385320,421040,468920,467680,464800,421800,477840,402240,363680,362360,326280,384600,485000,496800,450520,382200,471640,439200,443920,428760,539640,443040,299000
"J",291720,404520,445640,423080,409160,427400,369080,345120,363080,354200,329720,475600,359400,352800,395640,339160,373200,422680,420360,425600,489200,456920,411480,300480
"K",273800,309680,319520,320800,310760,315040,319440,308760,317560,318760,305760,324960,306080,311000,319320,326600,320400,319040,313720,323800,329240,309440,316480,307240
"L",278600,379640,391040,408040,616560,407400,362880,316360,318160,301080,298760,313360,309960,301680,310400,316880,329640,407400,414120,414600,417280,393760,403560,299520
"M",310440,305520,299240,306160,309800,306360,295000,296560,296920,298920,291880,315120,306040,294440,310600,310520,318440,309840,313880,301960,329360,303680,298200,292880
"N",321600,307000,269440,387520,399360,644480,529400,474120,393520,354600,407680,285200,302560,288920,288320,389640,311000,312560,310960,287880,294720,298480,300880,296440
"O",302800,271000,263120,266440,274920,280440,286000,278960,282400,288600,267040,286520,290040,287560,293840,283800,283720,283200,276800,276920,274400,275600,279080,254800
"P",249280,252240,245240,259760,259240,242360,261040,274400,260480,263440,248760,241440,264240,289640,270280,264120,278040,298200,249320,249320,255560,260240,249840,321800
