"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",628480,614480,632960,649080,673760,669400,658880,640640,631920,650240,673840,618680,793120,680080,772040,689240,641440,753480,645960,647480,670360,664440,628200,695320
"B",570600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47680,48920,40440,39440,44360,46960,48520,49480,42120,33800,34480,660120
"C",588640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104520,106480,103800,87960,93640,101120,104320,102800,99720,85320,90320,637760
"D",572960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141040,194320,138080,148960,135880,129040,157080,132280,142240,123600,134880,696720
"E",582280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271040,271920,278560,227720,235680,202800,289520,232320,232040,197680,205400,642200
"F",592040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388040,531240,352600,427160,320120,345240,364200,439360,324200,348920,358120,612800
"G",623760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,787480,752880,595880,634880,582360,580800,719920,784760,738840,643120,790240,618640
"H",585120,583280,572640,791160,715440,754920,600160,592480,551840,720280,565680,737960,722080,624680,564880,705440,610720,616760,646040,763480,696000,739880,628720,616320
"I",585360,583200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708680,521840,663920,570360,624680,547400,534080,591520,670120,610920,609560,602960
"J",594280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617920
"K",628560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618720
"L",621920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706400
"M",591080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581160
"N",589600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627440
"O",614240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574240
"P",592960,732600,639560,636600,666760,644960,618320,655160,787560,785560,632600,657920,651080,673520,606480,648840,652400,653040,601560,632920,603320,650040,659360,622320
