"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",464680,448200,477440,459920,509640,481560,518440,492560,511160,502600,516880,490320,513560,479640,516520,493280,507000,489560,503240,467480,490880,454880,461760,454400
"B",436600,436040,447160,450160,456040,474680,489840,478320,488760,478640,502320,485760,497480,477720,488000,486320,490840,480760,485200,469720,473080,449840,441840,462520
"C",458240,297840,369600,322080,322760,359040,480640,454160,492560,461760,499680,494880,500840,485200,493760,474320,486600,452440,356640,331840,334480,337400,362360,461680
"D",442200,333560,391600,345680,351840,393720,478200,499320,511760,513160,507520,482400,501600,510520,505000,494000,497400,475960,404120,356840,355200,375040,364920,472480
"E",467840,372400,408760,351160,364480,404200,489680,498720,521880,497880,516760,480240,529360,507920,542000,510880,538240,494240,431200,371200,386440,396880,392600,469000
"F",463000,377400,414320,361840,372560,430280,492880,513360,506560,514840,506120,494040,511640,525880,507680,492800,501280,498000,435200,389920,372120,417920,388760,478960
"G",470160,368520,413360,348040,360640,406520,481200,470160,494280,469320,522960,475240,507160,480120,512360,469360,497160,459840,429720,347760,367640,401640,386320,458240
"H",452400,349080,385440,335680,349120,391120,458400,468000,479720,480240,496120,471680,485440,486600,477600,476920,480800,459000,412840,355080,350200,389840,350840,467280
"I",461920,354760,388720,339400,335240,375480,471320,444040,493720,466000,488280,454160,490920,470760,474080,446040,483680,436080,410720,342960,348200,373200,355600,450280
"J",435080,346840,370960,325440,344280,393120,454960,458680,464400,421280,477200,463800,463720,471920,461880,461400,465000,450280,384600,346400,324600,376400,350960,458520
"K",455600,425640,437240,423960,465320,429280,444360,439800,461080,454120,467000,443040,454760,430280,452080,442000,450040,427800,446480,424800,439640,417920,444240,435360
"L",430960,334200,348320,315200,319560,375560,430640,425920,450800,441640,453360,459760,437280,432120,435000,435320,433280,420800,376280,316000,296760,347160,332400,433080
"M",430000,390880,407000,405160,434240,417160,438200,423000,425560,416640,422040,421640,437320,417120,419520,403840,429960,411240,414240,395360,420840,382320,416640,386080
"N",415000,387040,398760,403760,440520,425960,437600,416440,427840,409080,421120,414960,418760,412720,411480,411840,405840,408800,399360,394440,400440,392280,394560,394600
"O",394920,366440,395840,390520,423280,393680,421040,399840,412320,405920,425320,399440,425120,402960,423240,402280,425120,395760,404600,388160,396920,371800,383600,372000
"P",396840,387960,404000,403360,413200,414320,425240,418920,419640,423120,434720,427560,435920,424920,423400,411800,428760,418960,408640,405360,395960,381520,386000,385160
