"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",602840,573640,646960,639640,652400,642880,656600,643320,657720,650360,672200,667240,691640,640440,650000,642520,694200,640160,649720,634480,644640,606040,631280,604920
"B",593080,600160,633120,634600,639120,638960,645200,651280,664840,640280,660680,645240,639040,655000,657080,662560,662640,664240,647800,651600,635920,647040,611920,611760
"C",632680,138160,130120,134800,142960,158560,157000,127880,171480,194120,179320,647320,205160,183200,205320,164040,138080,145120,147560,136200,142800,129440,147520,635240
"D",600040,422840,494200,335880,295000,432480,534960,424680,304240,327640,290920,643920,280280,288560,301960,305360,405880,540200,430080,297600,348120,509680,497200,665760
"E",644120,507480,608000,429440,439880,535080,661040,484400,361960,346400,361760,612280,352760,356080,366880,373760,496880,611160,559680,411040,423080,574960,580720,606120
"F",598560,497680,645640,444920,412280,566360,682360,547440,445240,419400,429600,611320,419880,425240,443400,447760,564680,703680,547240,447400,458280,632480,491280,668520
"G",625400,506600,675120,458080,439720,569200,710120,576400,546760,499280,527080,598120,508240,493440,500400,527200,623160,701240,582720,447800,455600,663200,478160,609160
"H",607680,519320,672920,461200,432840,553360,732040,649760,590440,573800,599040,597640,572280,570800,593360,595440,640120,725000,570880,466800,461920,667360,471920,626520
"I",636160,500960,663640,434840,444080,567840,726560,628360,604600,572880,595520,573440,589280,576000,597800,582040,657040,730840,561800,435480,444480,641680,490960,603520
"J",601160,497480,627800,426640,436840,576960,684480,606720,568680,577600,578200,583320,566000,577320,582560,591320,633080,724480,587440,426560,442960,644960,475920,599680
"K",574480,564200,590400,573040,591760,579720,603240,563400,580040,564560,572320,547720,559320,563600,595640,563640,589040,581080,601840,590920,607080,561080,598400,570080
"L",572520,453600,626000,424760,434720,581720,661440,581360,558440,567560,546800,556000,544760,559240,552720,575200,612760,669680,570160,404920,427880,641720,463560,584120
"M",579440,550560,566880,527400,568840,524200,548160,528440,548120,541360,543760,523560,556720,535960,563240,546080,564320,542880,578560,572400,564400,547920,552720,543960
"N",533920,507520,538560,160640,223160,302960,372720,448000,514360,524440,521680,527240,529920,532720,535880,552120,549000,534400,539880,548360,552080,552920,546600,573160
"O",530880,496480,524160,506360,540400,531920,544520,515880,539240,524000,528800,515560,545440,525720,536120,526600,533760,521280,545280,524960,531240,502240,530480,519000
"P",515880,508720,536840,538360,570120,561280,552720,543440,544960,563840,568680,566520,552960,551960,571960,572000,567760,566400,552840,569840,550400,534120,538440,572240
