"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",754360,696560,835240,802240,813200,815480,819400,817840,813400,805080,923520,828320,914080,840920,843480,795880,815520,784000,846480,825720,777080,792120,744160,864800
"B",778760,695560,719040,735040,789320,705680,799360,1023200,791640,767640,801160,842560,836120,863680,873000,821920,820400,797400,751160,735440,743960,756560,783520,813200
"C",763600,78200,48880,39680,37240,44320,60120,110120,130000,130720,133040,828520,152160,166280,167720,133560,122920,49680,36600,35720,34680,55560,67520,733520
"D",831000,150960,131520,123320,119800,113680,168240,232120,258360,279640,290160,843880,275800,297040,302000,257520,269320,162200,113080,110840,91160,124480,142320,877720
"E",741760,262480,264960,260200,261040,274400,283080,545040,508480,510400,549200,767640,554800,531720,548720,542280,486880,327720,277040,336040,254360,267000,275040,849040
"F",716160,310120,336680,298160,293360,340960,381960,609880,666120,631120,765800,827440,659240,673360,677720,711800,591840,385840,325520,329120,308400,305400,341760,752800
"G",737440,401000,392800,335600,400120,396360,524960,685520,793680,799880,779560,801520,767520,778160,814080,763240,693920,535240,415920,364840,430600,410440,379240,822960
"H",751720,404480,433920,384680,396040,419640,569800,741040,820040,775720,801680,793760,798680,796040,840120,774280,745400,529320,456920,362400,384560,431240,371280,844680
"I",779440,395200,405840,373320,380360,422880,513160,775840,804120,766400,759440,760800,825040,809760,785920,787080,770920,514720,439600,390600,347520,433960,420160,729680
"J",735920,392440,392720,350040,359960,409880,522680,730920,741680,730640,870440,794520,775040,771280,775080,757400,761600,585840,413440,375520,363440,397280,436360,801840
"K",776160,713280,704680,701360,725120,803200,754840,729040,722360,706400,794200,811360,804960,748120,740880,771600,760640,739440,724960,737960,725200,738480,800320,903720
"L",740000,385600,373320,322520,361880,390080,500840,687360,723000,731480,742640,746600,776080,810280,762400,706360,732000,513440,397240,414760,401360,392240,406480,888360
"M",699520,656480,678120,656640,714880,668280,707360,690120,690480,709880,694400,805480,693440,715720,716320,805960,689440,697040,718160,769360,815920,732040,850800,767240
"N",700200,630560,853200,129200,236880,424000,560000,654280,671240,681880,700080,737040,711160,747200,684840,680840,702880,702880,714960,673280,722840,687240,769360,853480
"O",666400,609240,633360,618440,679800,647680,649360,649160,650520,661800,855160,684400,723960,728480,678040,722040,679880,676280,691200,713840,646000,633960,692600,738080
"P",669760,622680,640280,639640,635840,657080,679960,671120,695720,691120,690520,681720,708320,715320,725200,719280,660080,667400,714400,675520,668440,620760,703720,778200
