"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",324040,290560,297480,315560,307040,331240,302920,369080,422120,310120,287320,349240,318440,354200,317600,315360,340400,317920,328360,335080,296360,296160,303880,313240
"B",353560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318360
"C",282400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313720
"D",390560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316520
"E",310440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338080
"F",297440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328840
"G",291360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305080
"H",289280,284600,306560,346320,340760,309960,297200,332520,310000,296280,290320,284080,287320,437040,286000,305120,267040,281400,367800,309600,3e+05,328880,272440,349480
"I",309320,277120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282840,226920,267800,291040,270920,284120,277000,310040,344440,279880,273880,314640
"J",303480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175520,169040,174120,177680,156920,184400,175600,164960,184880,177880,169200,328920
"K",315360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190720,169320,180080,185440,181960,189800,183120,183520,182720,188720,193520,323480
"L",298600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200760,193960,194440,193000,221200,233840,206480,207400,201640,208440,225800,301720
"M",286080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260800,197920,213440,226320,221600,228000,223360,239680,226480,222880,207280,345960
"N",297960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241760,224560,242600,252800,240040,276440,292200,257440,236200,259200,242080,316160
"O",303680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301480,244480,276800,287200,267760,288000,320840,378720,290920,302680,288240,307400
"P",309760,322240,328000,395200,354000,369080,356960,359720,351080,338280,445440,350040,334600,358000,391080,340960,318360,305200,308040,357840,333760,336600,319480,298040
