"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",623680,621760,648360,660880,671520,678040,673720,714360,702920,730640,701280,755600,741560,730560,709520,713560,712560,709440,702800,743120,695160,737520,710080,705440
"B",599680,620360,684240,692960,665880,693560,709240,713320,730840,708320,706920,743640,748120,730560,741760,755920,708560,715000,727160,720040,714080,700880,728520,671040
"C",625160,75720,100040,32280,24680,54720,138680,191080,233720,275480,260200,757200,251200,240600,247080,229240,190080,147480,46760,25200,28920,96960,120760,691480
"D",611200,39800,88440,28120,20560,54600,141080,174840,211560,225160,264240,776040,261760,248640,242280,232040,161840,133040,53720,22360,25960,89680,50560,725000
"E",619720,31960,77440,31720,24720,73400,138920,154000,209680,235600,223360,762840,262480,179840,205440,185440,178760,127120,63880,25320,24640,83240,35720,717680
"F",621800,33240,63280,27480,29560,70120,117840,112080,189880,194920,192280,715640,243800,169280,190200,107680,135680,96560,69200,24960,27800,80240,47880,707480
"G",658760,53400,50680,32760,37200,99080,101120,144680,224960,170680,184920,725120,240200,197840,156480,137800,85000,146560,76720,37720,35960,85120,57000,702360
"H",652080,92640,56520,59880,71960,151600,209000,292480,513280,464200,493080,716960,513520,497320,330000,411960,280640,235400,156600,73880,85120,143920,147240,713440
"I",644480,243360,349400,249200,255400,408400,578680,672040,673400,675280,707400,701480,701200,703520,691680,689320,629200,589000,390280,230280,256600,396120,284480,684080
"J",611120,338200,518840,441720,483120,597760,705920,676000,699440,696920,697200,671400,705760,674480,699160,714920,716040,684520,606000,450320,466440,546680,382560,669440
"K",621360,634320,623480,645320,649120,636080,656160,641200,635560,671640,659240,666080,663480,666800,671920,661920,665880,680320,647760,661080,678760,658680,639400,626240
"L",596320,461760,611720,543120,588360,668640,689440,655960,656520,658240,657320,664560,670840,657840,648640,637480,672360,682760,656600,585520,563880,605360,490440,644040
"M",581640,616760,614920,608960,605560,628440,644800,640200,645600,639320,657400,668280,669840,654520,630840,646480,636320,647040,666160,636440,650560,629760,645800,631400
"N",592000,570160,578120,196400,197600,188120,152800,177440,471080,658560,663600,645560,631600,652080,647120,652240,655000,625520,617600,610240,617120,615120,629920,627120
"O",586960,561680,550240,549200,588560,613600,604600,626520,642600,602480,638640,620600,620520,625240,636760,624520,645000,637360,617400,590640,598560,584760,609920,610120
"P",536000,553240,533000,556080,550200,568080,600280,606560,611280,592200,606080,607000,603760,610080,616080,616240,642680,643800,594120,591800,595840,586320,590600,602400
