"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",83240,81720,87280,83800,77040,81960,82320,85360,84720,93360,84120,86880,71440,89680,86040,92080,80680,71280,86760,82920,79360,82280,78880,81240
"B",77880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4840,3920,3560,3160,3400,4840,3800,3640,4120,4240,3960,69320
"C",80520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5920,5360,4240,5040,4840,4560,4680,4720,3880,5080,5200,78800
"D",80800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6320,5160,6640,6120,5600,5680,4800,5880,5480,6880,7200,72960
"E",75560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15080,12840,11960,13120,11240,11760,12360,12520,13040,12040,14080,71360
"F",68480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26840,23760,26600,25680,30080,32240,25360,30200,31040,25120,26720,86680
"G",75680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49880,45160,43760,43640,44600,47800,47640,53760,45000,46520,55800,75360
"H",74120,52600,55280,56800,51680,63120,54360,61560,52280,52040,56200,53600,51720,54600,46640,49440,47360,52120,54200,54760,54040,54320,56760,75160
"I",70280,65080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56960,49400,55320,46440,44680,50560,49960,54600,53280,60160,57520,71000
"J",64920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72560
"K",76440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84440
"L",61040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74680
"M",84520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80920
"N",68200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69400
"O",81920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93080
"P",81560,78400,81520,67920,79120,77320,71080,86280,79280,76680,74200,68400,74200,81720,74400,78040,83080,73160,85080,77720,72080,85960,78280,77760
