"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",418760,371320,398320,378680,404600,385360,427000,401520,412640,417280,452680,439040,436960,416920,428320,402760,414280,404400,426080,396880,415560,399840,428640,450080
"B",376960,351240,346320,336600,338680,342680,346560,349400,350600,364640,362680,372120,374680,377320,371960,370200,374680,367640,366640,375720,376240,371480,372640,412520
"C",389760,212720,176800,157960,214840,230080,254720,300440,319400,306800,309800,371920,309880,304400,307120,320640,314440,226840,218960,201720,210440,203960,188640,413960
"D",366720,331960,302920,316600,328080,332400,360480,372560,370880,374800,386840,352480,394360,386920,394560,395840,391600,375200,362600,360000,356040,369600,336960,409320
"E",386440,333400,347040,341920,368000,341600,376800,373560,377600,366800,391960,357000,391080,375800,405960,381840,407080,390440,399280,376360,393760,377960,390880,409120
"F",363440,333000,334640,331200,331320,332160,346840,341320,352880,363080,353160,337160,360440,362560,371440,367920,381520,372840,361760,364040,365640,366200,376640,409360
"G",367000,331480,352680,326800,354400,346000,375040,350480,367320,355760,377480,344840,393480,369440,372760,368880,382640,372840,383720,364280,385760,375720,409840,398320
"H",353920,331360,325160,326360,331200,334880,348000,346680,333800,343960,347200,326760,336080,350840,348560,350920,356120,366640,345280,344200,348840,363520,384720,404320
"I",373680,339080,349840,332200,351040,340880,362640,335760,355360,334000,364000,335400,357600,351920,365120,347480,371440,366080,369400,347880,375440,363200,385040,398120
"J",351040,320000,330120,318480,316440,322360,331360,327760,315240,317640,329440,328080,332480,334960,333640,337960,343520,354520,335640,341920,343720,358400,371120,396440
"K",358680,316720,331400,311200,318080,312840,326200,316040,333760,315520,335240,321560,335680,335160,346800,328600,347640,329440,336560,321520,351080,330760,373000,392680
"L",338120,317880,317200,315720,318160,314360,324680,317080,307240,320840,319320,323200,328480,333040,332320,334120,332320,332920,333040,330440,334160,338960,357240,386760
"M",360760,307760,311680,303200,314120,298640,321720,308200,329440,321480,331320,321560,337960,328040,345040,327440,348640,324800,339120,330360,332480,326040,364000,377280
"N",348400,298960,295120,261080,348800,327240,330720,325400,324880,311880,314080,317920,318560,323720,323480,326280,326120,312120,316640,329160,330960,331240,336120,379920
"O",359080,318280,323600,310320,317880,322600,335920,330600,334440,325640,336240,330720,364040,337960,354320,336600,352360,333320,341880,333360,351320,337080,351040,384400
"P",377040,350440,339640,339120,352600,349080,361400,362040,360520,361160,371840,367640,381160,378720,377840,371480,370240,366960,383280,371760,365640,364560,391000,407800
