"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",301680,315080,38960,8760,12600,31120,56200,40200,111080,121880,64360,159480,49840,15400,15040,7360,9400,14200,5960,6280,19960,53720,53160,85320
"B",547040,206920,215360,365040,281120,282320,419360,301280,221040,229000,399880,308280,185200,240600,145240,7760,206920,129160,242880,109080,5760,9120,31960,188080
"C",19720,14680,11880,14120,9120,8000,14240,9720,14920,12440,12520,44720,8360,4720,11840,12440,13600,8840,12040,8640,5440,4000,8960,54360
"D",14720,5560,7840,12840,4920,10320,11320,19960,14240,8960,4040,6200,7560,9200,6240,9320,11920,8600,11360,11960,6720,2440,3600,8080
"E",7760,1280,1560,9600,5480,8200,9080,27480,9360,21040,5560,8880,6600,9080,5560,9320,9600,4400,6400,8720,4440,1440,2400,7160
"F",7680,1600,1840,5080,13200,9920,13680,24040,19360,29360,3440,9560,15400,14920,23040,7360,4960,10280,2680,4320,2240,840,400,2560
"G",5560,1760,2440,5760,6000,8840,2040,3720,9800,37440,4960,10440,10080,3040,4920,5720,121720,8960,3120,3040,2440,1000,2720,9920
"H",13200,4600,1880,3800,5480,3320,960,4400,3800,4840,1320,3360,2760,920,1960,56040,5840,2520,2360,2520,1760,960,3480,3680
"I",13840,2320,3000,3320,2360,1480,4200,1880,3680,4120,320,1960,5960,1000,2920,3120,2040,3520,2320,2320,1560,720,1040,12760
"J",10280,3800,1360,3080,1920,4960,2000,840,2240,2600,3840,4680,10800,2200,4680,5320,4000,600,1520,3720,2480,760,1960,6440
"K",16400,6320,6800,11480,3640,4080,131800,238320,6000,3640,1440,920,1640,1960,1240,1440,3680,4760,1120,2160,1880,5400,13520,10720
"L",30400,7960,7280,4600,3520,3000,4000,2600,2680,840,4720,2960,2480,4480,520,2240,2200,920,2040,2600,1560,1640,2840,13120
"M",122440,43960,151000,136200,12800,9320,4400,3720,4440,4240,3640,5400,2000,4080,3360,2800,2400,16120,6600,5800,6960,10360,20640,30680
"N",202080,48680,139640,6360,7600,9160,9520,2760,95120,5200,28080,10080,7480,6920,31360,59080,5760,10720,95320,120640,106200,103840,85120,101520
"O",109000,105160,103440,95680,98680,105680,97280,135520,140400,136760,167320,136200,107840,152880,100560,64680,21480,49440,163800,129000,155240,144400,142040,146080
"P",466760,168960,196480,121320,98000,108880,15320,80040,79160,104040,132440,143400,134240,133360,78240,164200,120600,155120,52840,105960,222320,181560,214680,447560
