"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",377080,367960,375600,395520,408760,412760,413000,414160,422080,422800,413440,429560,422040,420400,434000,427840,432840,430120,418160,416040,416440,403200,384160,409920
"B",368680,375480,356400,376360,401280,394440,398320,402560,410440,399920,401920,394480,420960,401240,408400,419480,409160,406200,418080,412600,384920,380000,394120,395280
"C",382040,52040,48160,46920,52600,53520,53760,57640,64280,65680,64840,411400,64880,65680,65000,66520,58760,56000,57880,54520,48400,46600,45520,403520
"D",361600,64000,67040,68920,68320,74960,81600,85200,87040,89040,91080,408640,87720,89080,88160,87360,83440,79800,75440,74040,69720,64280,61120,405200
"E",369080,80200,87680,94040,94240,99960,109640,117640,130280,130240,132400,392240,136000,128360,131760,131680,124680,115520,104120,93680,91320,91000,84280,400960
"F",364160,90680,107560,109600,120920,127160,153400,166160,185480,193880,190840,399960,192560,197080,190720,190400,176160,154760,146600,123120,113000,104120,106120,398440
"G",370480,109320,119000,129760,160840,188320,215960,238680,240440,264520,259640,393720,256840,260960,255400,258760,241880,219880,194760,149400,145200,125720,129080,386040
"H",355400,166200,163240,178600,234760,299520,327840,346920,360160,360160,362000,393440,355480,378720,372120,357920,360120,346520,313280,250480,187880,179640,187640,385200
"I",369120,210480,188360,199520,291240,348120,359720,362040,365760,366640,373560,374080,370720,363200,370720,368280,375320,371120,342280,288760,227560,225240,248000,381920
"J",352400,226520,194920,231200,299080,360640,367840,351880,358440,346040,353200,365600,365880,358280,356760,372720,361920,368280,351360,330400,254240,224880,251120,391520
"K",350800,367040,354560,352040,359760,363400,364960,366320,354240,367840,356640,366600,356720,358840,365240,363720,361080,362400,357200,371960,357120,360880,374360,367080
"L",347880,235280,213080,224840,315760,353280,354560,349000,347040,355320,351280,356160,349720,350840,367920,364840,356480,352920,372760,320080,246000,237560,246720,365600
"M",344240,338440,328440,330520,333880,341000,340760,354320,333120,340480,329800,335360,344600,334960,339160,337800,351440,342720,342400,344360,339720,342000,345480,353360
"N",340480,330960,315840,58440,79960,112760,162000,226800,319960,343280,339560,344520,350680,345440,344080,341680,353760,342480,346920,359400,327760,323880,335280,361360
"O",338560,333320,314720,311840,344960,358280,350920,352560,340560,346480,355480,356760,354120,357160,361360,355560,352000,357040,347240,359520,329960,322680,337960,341240
"P",326640,331880,320320,324360,340800,350040,362760,353280,353800,371000,374480,358200,369720,370760,371160,349440,359160,365920,363840,356080,337160,333960,340960,344280
