"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",181200,342000,186840,238080,187040,441760,323720,423920,187160,241720,294200,232560,215000,363480,175680,391520,171320,418800,175280,248040,166720,249520,162480,245440
"B",339240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48040,44640,40840,49080,37760,47800,48960,27200,49200,49160,46400,219840
"C",348400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88600,98360,92440,95040,86800,82320,116720,84160,85400,90360,84800,234640
"D",300280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140080,112960,112240,105480,108360,118840,101920,99400,103920,105160,115640,223120
"E",233960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144160,112400,139600,153800,115560,116000,152920,132360,157000,139760,166400,230680
"F",252360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231920,198240,177120,141640,142520,136720,187080,149760,181680,162280,218760,238080
"G",336840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187800,175880,203200,165320,158320,199880,167000,258440,187320,203480,213040,288960
"H",243240,339840,217480,216120,353560,204680,201400,207720,195840,191240,197840,186440,192360,190480,285080,193240,191560,193880,197240,281360,209080,217760,261640,239960
"I",238080,258800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192640,202760,183600,287480,172160,175000,176840,188920,196120,215240,222360,236960
"J",293720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249600
"K",230840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236400
"L",241320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225200
"M",170040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232360
"N",234920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224880
"O",238600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226360
"P",246760,383480,240800,235040,374760,241400,231640,234520,374400,376800,246160,403080,228760,386960,239720,376160,398120,339320,357920,230840,347120,315520,224720,295240
