"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",411880,328280,322360,350240,315280,354680,323000,281760,331920,282080,298760,326480,438840,277200,283000,301720,182920,265400,263240,290800,335080,295600,291240,290240
"B",388760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270480
"C",405000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279240
"D",209120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197960
"E",317160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303040
"F",373040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283320
"G",355640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311480
"H",383280,315440,298240,197960,277120,281400,262680,294440,311040,285640,292440,298240,262000,295840,286680,271480,294160,234760,282680,186080,285720,307440,239200,203920
"I",215640,205720,224600,170760,224800,291000,253240,238760,299040,351280,281800,252520,303680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264360
"J",207960,6120,3640,3640,4920,7760,10840,11360,8720,9240,7760,9400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212720
"K",356720,125240,38160,93920,137240,104000,133760,141920,140360,124920,110840,112040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201080
"L",300240,190960,74800,161960,174840,161880,183680,131960,176560,167160,164440,156720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204880
"M",212760,235120,110600,176600,204640,137040,196760,156880,162040,216560,150560,147760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204280
"N",336480,258080,111600,208080,146640,217440,201880,212960,160080,246320,240200,258000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355320
"O",339280,194960,186560,217520,229600,251800,248720,227600,304040,189200,273320,287160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405000
"P",376840,528480,379200,351160,385680,299120,209280,362600,233360,320920,415440,378280,372240,367640,397080,345280,351360,324240,330680,414480,364920,341080,200560,321640
