"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",798040,771520,767160,774120,859000,779000,736000,744640,745840,715920,734480,719000,752840,703880,740200,744520,746600,701560,727840,709240,793360,717480,743680,721160
"B",710240,729960,736720,767520,758840,768840,710960,722560,701920,724920,734800,738960,728480,736280,715920,736760,710280,706400,746880,756320,755360,771920,725920,716880
"C",767080,89360,77680,63520,68520,69400,84640,80200,93840,96960,90160,768200,101720,83360,95480,83360,85240,75960,70280,66320,73320,75280,88720,718560
"D",701560,108920,104920,97880,93880,109360,124320,148880,149520,158240,168360,745040,169240,176240,161880,147200,141080,121080,98600,107880,104480,108080,118440,741960
"E",797760,105400,135800,134760,127960,132120,182040,244160,319200,444720,224640,755720,534360,232080,407200,191560,177440,141560,134440,143320,161000,145640,110520,755080
"F",677160,128120,151200,141280,119480,129880,278040,336440,370960,365880,349640,724160,332080,335280,302040,320200,327480,228960,152080,161520,165960,158840,153400,750760
"G",726240,118120,139440,135280,116520,158640,463320,515960,643600,682400,548360,738920,705800,503960,723400,599600,442560,305120,178760,154920,162280,168960,199360,759280
"H",666760,132160,117280,155520,110960,137080,401280,539360,704960,747920,617080,729720,719880,566560,740480,713960,493640,292360,139560,144800,170080,179200,168280,745480
"I",730000,195360,117440,142600,147080,131160,237360,199040,274600,223920,264920,723160,189880,234960,224360,191680,134960,184960,163800,181480,171160,168320,211840,717000
"J",668280,164800,104800,141160,158040,154800,278200,418280,380040,399400,415520,713120,427240,387560,401600,425000,259200,270560,167080,184320,149440,157760,190840,727480
"K",700760,707400,739320,727520,778120,711240,756200,702360,742680,698400,730640,694080,719040,691720,722240,692480,733840,699400,734560,719880,735800,687160,712840,683880
"L",646560,148720,76320,110240,122440,127440,380880,627840,650120,674720,615960,687200,659200,632800,667640,681400,616560,430280,177800,140600,128320,144360,182240,656280
"M",666840,652800,685400,687240,735200,691280,730320,691640,682360,672200,700520,657280,679200,645640,694120,669280,713760,684520,720840,686640,716280,680360,778360,694720
"N",587520,615040,627600,94280,133040,411120,299360,630640,663560,197120,311760,661080,626840,635920,643720,668840,657360,668720,652800,675840,659720,660960,682040,693240
"O",625800,618120,688680,659160,678200,660080,696920,665080,668920,648040,672560,639400,654040,636640,648280,643720,680240,647840,695640,672080,662440,636400,663040,613400
"P",591600,575760,604280,639640,632600,624400,648600,658960,629520,653480,636240,639560,646080,638440,634440,637880,653040,652080,660320,675640,626680,614480,620520,611200
