"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",180320,316640,194840,294960,211800,288920,193480,307880,196760,359640,203040,461560,200040,319160,180640,269560,175760,495480,190480,489800,188160,302680,245880,320640
"B",356520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24760,14080,21720,19600,19960,23360,21920,25600,21080,24800,24880,346080
"C",242640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58240,42000,44760,50120,40040,48920,44120,58120,47120,48160,50560,280400
"D",243840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59840,59960,56520,71480,46440,51520,50120,54120,60080,64920,66600,261800
"E",449840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108160,64800,94560,61680,65760,68080,90760,70080,83160,93120,96680,247360
"F",284440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121080,108080,206000,115120,82600,88000,84280,113440,115760,180280,114080,381360
"G",287720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208280,193360,298040,169720,156600,142240,234720,202840,217120,213360,225720,290760
"H",410160,252960,241480,248440,250760,377560,227720,230240,217520,406520,218000,299000,212000,220080,212440,280600,227360,236440,233360,364680,234360,239240,237920,260200
"I",250640,178520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386120,125720,234160,167640,199400,108240,200280,138080,313680,162280,234200,173280
"J",295040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256760
"K",256640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268400
"L",252120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424160
"M",283120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246640
"N",292080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245400
"O",252840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254280
"P",305120,254760,275120,276560,248080,295320,264800,363720,405760,239840,357240,238160,247160,242920,243240,262680,243640,377040,231760,234120,238120,239200,234360,288560
