"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",597600,569200,562320,641520,724600,668400,676000,666920,604400,596920,653560,640120,664200,671520,634000,667280,639880,693320,680480,636840,610440,647200,615920,660840
"B",615440,514640,450480,440080,565080,581000,586080,435080,508600,580760,594880,583640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578560
"C",590120,552720,470960,467400,588240,594560,603360,452960,558120,573760,575040,584680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621000
"D",573040,543560,515720,511440,605280,620280,603320,487440,532920,565000,546200,578800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614120
"E",623320,552840,542120,506480,586520,622960,598760,502840,515840,558200,548520,580240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587360
"F",595680,554920,538760,492320,549480,564160,558280,490680,470040,563840,562360,563920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625920
"G",594080,530120,550960,456360,575640,560320,551840,472400,485680,552120,543360,551840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594560
"H",598800,557280,557280,547040,561840,577400,559920,586800,540200,555280,542720,568880,545520,588680,552920,529440,570800,533760,588960,564160,567960,572640,606160,601320
"I",571800,549920,534160,470360,548720,561360,567840,462600,475360,540760,553760,594960,595120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619760
"J",578920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633440
"K",602360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621720
"L",580800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596920
"M",601000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585400
"N",581800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605840
"O",555360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584320
"P",592480,604560,603360,605400,570880,584280,579960,607560,602200,598680,594560,644640,604480,645840,621960,624000,608520,593080,609160,621960,625480,628080,581880,608560
