"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",564720,495080,489280,380120,389840,354480,185080,285520,396400,493120,547040,492600,525760,389520,221520,162560,140640,141880,71160,214840,409160,425680,475200,524120
"B",298600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614440
"C",423120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518960
"D",301480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489800
"E",215520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445840
"F",283120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441080
"G",259920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430920
"H",204840,39400,71000,41520,400,320,920,6600,1840,880,440,720,640,5360,480,57360,23520,15080,39360,27720,8000,147960,251000,352040
"I",260040,45840,920,560,320,200,160,160,160,200,3920,840,1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424520
"J",205240,2840,1120,480,320,360,240,80,240,280,360,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435280
"K",205480,105560,1160,1440,520,280,200,160,160,200,320,880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395480
"L",215280,140560,1560,640,320,240,200,160,200,360,320,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439280
"M",124560,98480,1400,680,320,200,280,360,280,360,360,1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441560
"N",206800,83560,1800,680,320,480,480,440,520,440,400,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451200
"O",343160,255040,2280,1320,800,1040,68800,840,520,520,320,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430800
"P",492720,273400,113320,174240,88600,1480,34080,227960,13760,760,280,33520,640,1720,800,89400,139200,1520,920,1400,80960,236440,440120,541600
