"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",83240,81720,87280,83800,77040,81960,82320,85360,84720,93360,84120,86880,71440,89680,86040,92080,80680,71280,86760,82920,79360,82280,78880,81240
"B",77880,50560,41880,46880,53000,51280,41440,49000,49000,54320,47400,52560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69320
"C",80520,50280,43640,55200,45880,57640,50240,51320,51360,52600,57440,50440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78800
"D",80800,57360,43360,45960,47040,39360,43760,47320,50200,50600,45640,48920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72960
"E",75560,52120,47880,48800,48600,50600,45920,43320,51040,45360,48560,44000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71360
"F",68480,44880,39440,43080,44120,54320,47240,43160,41360,49800,44000,43400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86680
"G",75680,53240,42400,45240,50960,43760,46840,39600,48920,49440,43000,55040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75360
"H",74120,52600,55280,56800,51680,63120,54360,61560,52280,52040,56200,53600,51720,54600,46640,49440,47360,52120,54200,54760,54040,54320,56760,75160
"I",70280,65080,54160,53240,55120,49720,45600,56400,54800,50880,54960,54120,56960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71000
"J",64920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72560
"K",76440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84440
"L",61040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74680
"M",84520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80920
"N",68200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69400
"O",81920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93080
"P",81560,78400,81520,67920,79120,77320,71080,86280,79280,76680,74200,68400,74200,81720,74400,78040,83080,73160,85080,77720,72080,85960,78280,77760
