"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",242960,324680,397120,193120,391720,199920,355920,191240,417880,194800,212720,299040,251480,212040,195560,285840,196560,300560,260040,443160,235360,225160,239200,218440
"B",333880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320640
"C",373200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390200
"D",202080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386800
"E",208000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373800
"F",197920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394480
"G",222360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317320
"H",291040,197320,199320,367160,198480,188760,187680,184640,185800,188400,185680,256200,260480,287120,257840,258480,187120,302160,195480,180760,188120,344320,363800,203280
"I",295480,196600,187760,296160,178680,169040,159840,170200,253040,218560,331080,190440,355720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347320
"J",221080,33880,3160,5440,7280,8240,11480,20800,25000,28480,25200,51200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438600
"K",230520,147560,33840,250400,159360,257880,172560,174600,179240,146760,113720,135360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193560
"L",246600,149560,36800,157720,177480,165560,173960,300040,175280,255720,165480,177040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199920
"M",334960,141320,82240,169440,175920,158560,254960,170280,182240,170160,160560,169360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359200
"N",203520,256000,75040,285120,186040,162840,194680,280240,192680,179000,162600,154640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212000
"O",211960,177440,167800,184080,301960,177760,172520,335320,310080,267560,183640,259640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319080
"P",263600,361640,195360,194560,235080,354480,226240,197000,197600,332840,425520,342520,324240,372880,203400,306080,193400,205520,312280,348080,188760,196520,326760,227440
