"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",550200,606840,570920,608880,615160,594680,649160,667760,756720,667280,565760,669240,616200,548760,554320,578360,621640,563000,557280,632280,709080,704600,557200,588520
"B",701200,559920,549600,568760,550360,586920,612280,652360,573640,570280,544880,597640,527760,570280,718200,615480,572440,588360,621480,637880,707640,569680,575120,716440
"C",602120,578160,541800,550240,563920,547600,521920,499680,537080,518840,533720,515960,529800,527760,546120,549920,540040,544080,519640,528560,501480,531360,559560,516280
"D",524320,579760,586040,617800,645080,621400,590480,625280,646800,584160,562480,533960,572600,564280,556280,567240,565400,561160,567720,547720,535280,514520,540200,537120
"E",592560,579320,624680,530160,609080,554760,527640,574720,544400,613520,536920,539360,530400,562920,598360,561600,693560,618200,545120,524800,545040,595400,506400,494880
"F",544560,582920,587760,565160,592720,550440,576440,566880,580200,569960,554160,557080,554240,564360,571520,607400,592040,620120,576320,560120,594600,516080,508800,588920
"G",596960,520320,500960,565400,512960,543760,530400,524600,540520,524040,550680,574040,575360,537880,545840,579440,608560,586520,512640,521720,535040,494560,528160,501560
"H",571760,543360,546360,580800,592920,519640,542760,577160,625080,592120,592640,528960,589520,583840,563720,562240,583280,552360,502720,605680,522160,532400,573120,551560
"I",519200,564640,534960,554040,579120,539800,539960,540120,526400,538480,533560,518160,542960,538120,536840,501880,532600,508040,511040,506720,504240,475480,476120,484080
"J",529280,522840,512760,534400,535680,537440,558880,527360,531040,506280,510000,540640,539640,525200,554880,532200,562880,539000,529920,497720,510640,499440,516040,491240
"K",491280,487240,494320,479840,484960,487480,507720,524840,515200,511360,535720,534560,498040,516880,498160,501040,522680,528120,501120,506440,496040,469920,490200,475000
"L",563000,494920,503400,504680,497200,505240,521480,528640,526880,529240,523960,517720,516720,540520,530280,526800,530320,508680,505040,500320,486400,482360,478280,486360
"M",493600,470200,483560,492720,456520,478400,494240,468600,489560,508600,496280,521840,496360,503480,491560,484000,489680,487400,485240,514960,489200,467760,462560,478160
"N",549120,764680,720240,509520,483920,505880,496920,494240,502600,513720,500640,499400,485600,489640,533360,520680,499360,479120,484720,457360,455400,461320,452600,456200
"O",477200,447080,446640,468320,495000,468680,473120,477040,471240,471320,523360,484200,466880,463120,463720,468840,506760,453560,466720,456480,437000,429000,438400,441480
"P",472200,426840,439360,492120,448440,466360,479880,455920,473640,484520,474520,480160,482040,446480,477240,454160,469520,455520,484040,473240,457520,429200,484360,501400
