"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",396960,368800,401520,426360,466840,460440,462840,466080,458120,450640,445480,440840,432720,453200,455920,459760,466240,471240,464240,466840,446560,409240,403880,420040
"B",380160,382160,382080,409360,441440,443400,446920,450560,439920,439600,450640,435760,446520,442920,444400,466120,451080,457840,468640,460320,428560,402480,393000,411080
"C",378160,9480,10280,14280,15880,15640,15000,17120,18080,18920,19480,465480,17280,18240,18760,15520,15000,14680,15960,16880,14400,10240,7040,400600
"D",359720,20360,24680,27760,28640,28080,27520,30320,30600,32400,32440,466040,32040,31480,31480,29840,29640,26920,27720,27760,26720,23200,16560,396480
"E",368400,37600,42640,46200,48680,48800,47120,48720,49400,48760,51840,454920,53480,50560,51720,50640,50760,46320,48080,48800,46400,46200,38160,376440
"F",355200,58960,69840,68360,70360,72000,70200,70920,73160,78040,79400,458640,80400,77240,76960,76840,76360,74160,73520,70280,71080,73600,59760,386560
"G",371280,134880,156680,161600,167280,171360,172400,174680,171720,184080,182440,449160,172680,180680,181280,178640,176320,172200,175080,170400,170720,162920,146600,388960
"H",360800,250040,276320,292600,305400,301800,299160,316360,322520,332480,326000,436600,323120,343520,336680,330560,320480,323120,312320,306360,308000,296320,277000,389880
"I",369040,321640,346040,344760,375640,372040,363080,355960,380720,389640,393280,426160,387840,384880,394520,384560,389880,375200,370920,364920,368520,375240,348680,399800
"J",364120,345680,360120,373240,386440,390240,387520,403440,398400,396640,410240,322920,408240,402960,402480,405400,394920,404720,399120,401640,400440,388000,364240,406960
"K",354520,368880,370320,390680,395080,399480,392720,409160,404920,421720,413720,418800,416560,422480,418120,421840,416520,408920,413480,418920,411120,392880,395080,387280
"L",353160,330800,362920,365080,391480,394920,388440,405880,402400,405040,405840,399960,403200,405200,415680,409880,397960,400680,408680,412520,389280,384080,378640,386800
"M",348880,353160,361200,374400,386120,397400,386040,406360,385840,402080,383320,384360,394480,391360,411800,397480,386280,388960,392240,402000,382320,377600,370200,380880
"N",319840,333600,358320,18680,28360,45200,64440,151520,289280,360640,377960,393040,399200,391880,391400,392320,387600,371640,407680,411480,383120,366560,345680,369600
"O",325880,342120,356960,354880,391000,396880,384960,386280,377520,389840,399200,396400,391800,400280,402720,389800,382920,381360,402160,408680,375040,358400,351520,353680
"P",327120,337480,349000,354240,369240,383400,379000,366200,383040,411000,416000,394800,402400,414160,413200,388840,386320,387360,406360,395880,385920,371560,365560,341480
