"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",83920,98840,86480,91000,88960,76720,88800,102560,97640,107000,104720,95920,77800,94560,90840,74240,98280,86200,74960,98400,96440,117520,127000,80280
"B",82440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123640
"C",69960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86160
"D",62640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60920
"E",83880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64960
"F",85000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49520
"G",81720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66040
"H",90360,78120,58960,63480,75480,84800,72920,77080,78880,71360,95680,74600,60920,91920,86600,78600,83160,68480,75560,60720,82520,71880,62720,56960
"I",95280,73160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61960,56920,49680,47160,39520,41640,43720,60200,63320,58640,77520,56680
"J",81840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34200,37200,34400,30520,30160,23680,27240,32400,34120,45320,40800,51680
"K",82240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,31840,32000,28840,32440,27960,28120,32960,32640,51480,42520,57520
"L",91320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29560,36120,37400,20120,31440,27080,30240,33280,40560,43360,60080,69880
"M",96080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43680,32600,25560,30360,30960,25240,28880,34560,46280,53320,66000,74200
"N",108360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75320,56720,34480,33680,26680,32520,33320,37200,44520,54120,78080,86160
"O",87560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49800,54640,70680,39600,32440,27120,30800,41560,31560,57920,66040,90720
"P",82000,65160,74160,47200,42280,58240,50120,19680,53640,40960,57440,37720,60040,56800,47800,65640,68600,58360,45200,47960,61080,51320,65800,69760
