"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",572400,573240,605400,609000,663720,639480,676000,649360,665800,651160,679200,668480,672960,638960,693680,646720,657120,641480,668960,615160,626560,575800,594840,573520
"B",543240,549960,556600,592400,635400,616120,645200,654040,635040,640920,655120,633320,631680,636840,642520,643680,638360,640080,643040,621920,594760,571240,566760,580360
"C",579680,467400,483720,500600,542400,536480,582000,569920,566000,542920,560720,658840,551760,575360,553800,547600,575760,546360,560920,532880,535600,520960,497000,594760
"D",572400,493360,509960,542080,569120,572920,607640,634560,591560,589160,636800,694480,598360,647480,610840,617160,616200,585080,578360,572800,567520,557240,501800,610360
"E",606840,532320,591200,607320,654960,622720,728760,702280,702200,666920,731280,700600,688400,676280,679800,700760,711400,655680,650520,614240,650680,627520,611440,612040
"F",577920,533440,592400,604360,638920,648800,694360,756800,705240,751200,746800,687480,699520,694000,695000,726880,724880,677520,655720,645520,613160,614440,592520,622400
"G",602680,543320,620040,613400,637200,642720,676600,715280,713680,694800,749800,700440,713000,736720,706560,701880,713440,665720,680080,634760,616840,645000,600760,614640
"H",574640,536880,591600,597400,618760,623120,639960,687800,674440,689280,741960,701640,686720,716680,682520,678160,710120,642080,626200,623920,642000,640920,593360,632600
"I",593640,535560,601760,604360,647000,648200,673720,724680,725800,705400,754120,677840,723640,699280,713880,703400,709280,685080,671120,638680,649360,633640,583440,621040
"J",561560,519440,571360,566280,624240,598480,624800,666240,663800,639600,710720,678000,646160,681560,657800,672000,685000,638080,614800,628880,601560,611840,584040,618920
"K",580360,583880,598640,607760,628840,622120,632440,632840,658520,654880,676320,663280,652120,646600,651080,637720,655320,629960,633720,625880,634160,604920,600320,602040
"L",555240,521800,566400,562320,593080,583240,587160,653000,624000,627760,680160,653560,640880,677680,643440,646560,657000,604360,586240,606200,583480,605920,546440,614240
"M",543680,544640,567640,573280,593440,593400,627800,629320,632760,616000,648240,645240,641360,630400,637440,622840,647480,621560,614960,602960,591880,565000,567160,567240
"N",511080,500240,531520,438480,507040,555760,608520,593840,599200,611240,610280,612840,588320,605400,615680,617360,596440,610560,582520,587440,567560,555800,526160,561440
"O",511760,509160,534280,539360,582920,580080,591760,578720,598400,592640,603080,586600,578280,583360,605880,598840,600560,591040,596040,568240,547240,538560,529360,525960
"P",483480,490080,507040,517320,527440,550840,544280,553480,557160,567680,577000,581840,572640,587560,578360,581360,564840,563000,557000,550960,546280,534680,523440,527120
