"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",495040,450760,473000,476880,479760,494240,500480,503080,510480,506960,505720,521200,517040,505960,502000,510880,509560,501960,495520,485040,474560,464840,468320,496160
"B",460320,441080,442960,447480,451800,455040,467600,471880,483480,468080,477520,483400,484320,471280,482880,478920,478680,478360,478920,471480,458840,454360,445800,466680
"C",471760,187920,144880,132480,140880,161760,254720,339480,437120,460320,477240,487640,485560,517800,491560,447720,349040,234560,162360,147240,138920,147280,179440,479920
"D",465760,96200,110320,115800,109040,161160,355800,427600,491520,491840,492600,484920,493360,507080,495800,455640,355520,270600,164240,126000,100400,105640,117480,474200
"E",474400,94920,91720,104080,120000,233360,399800,457400,510640,511800,506720,459880,520320,520800,536080,518480,489120,442520,239800,160520,107880,99240,98840,478920
"F",458160,98640,98800,117240,184320,345440,504520,505560,519080,515640,501520,463080,502160,504040,510080,510880,520360,499360,271720,179280,130080,98120,111720,479280
"G",469640,102760,99960,143480,141120,322560,478440,474200,468200,474400,488360,472440,463320,468200,492800,485520,488320,490880,279120,176080,129360,111760,117520,469160
"H",466280,109920,96160,119160,158760,268080,493240,493280,467680,462200,462720,458440,466480,466360,475440,486200,480120,480520,254720,170600,123960,121200,121520,469320
"I",463880,115880,111680,131640,187280,318640,459760,469320,450240,459160,449800,455800,448480,466800,452920,462160,484520,457760,295200,176240,132640,103720,97800,463160
"J",458600,99240,92400,141920,159720,261040,448720,470080,442200,453920,458240,451040,452920,457080,449000,465640,466800,418520,264160,158760,131280,97480,113080,463640
"K",450360,431760,426240,425040,424120,429600,428200,434320,429440,442200,435560,440160,432200,444760,428000,438560,440040,443840,426240,426360,426240,423320,412280,424440
"L",437280,108240,102160,116240,150840,270600,438680,441280,440880,438600,440400,448440,429480,444520,434640,432760,444640,444040,243400,145640,126200,100160,109760,440360
"M",430880,411640,411560,402840,407280,413360,428960,421480,406880,419320,413360,412600,402600,415400,412200,405720,409160,424120,402280,417040,409880,420280,410040,421240
"N",425960,405480,393960,429800,457960,459960,459120,439800,414480,409520,407120,424000,412080,427160,410840,423240,416360,414000,411160,415520,406680,413880,404560,431720
"O",415680,381400,381440,381720,402840,403680,417720,409880,410400,402920,412640,401520,402640,420600,407800,410840,429080,411600,421520,405160,393680,378480,398920,416240
"P",432840,412600,407760,416160,425040,440880,431360,445320,441880,441800,456040,468200,465120,451680,453840,457040,454440,451720,446160,448680,430400,417200,424520,458000
