"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",83920,98840,86480,91000,88960,76720,88800,102560,97640,107000,104720,95920,77800,94560,90840,74240,98280,86200,74960,98400,96440,117520,127000,80280
"B",82440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12760,19120,16040,16200,15040,14400,15440,14000,16560,13200,12240,123640
"C",69960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50920,64800,53960,65720,50320,52760,47600,47600,50480,54280,46360,86160
"D",62640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68840,90160,76280,78680,68600,69920,65040,69280,69520,80200,74800,60920
"E",83880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101800,81360,79600,70120,74400,74720,78400,71920,70520,83480,91520,64960
"F",85000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56680,66320,72680,57160,66960,62600,57080,64280,69880,89280,85760,49520
"G",81720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60640,72560,66080,41240,63840,47240,54160,50720,42520,53280,60080,66040
"H",90360,78120,58960,63480,75480,84800,72920,77080,78880,71360,95680,74600,60920,91920,86600,78600,83160,68480,75560,60720,82520,71880,62720,56960
"I",95280,73160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61960,56920,49680,47160,39520,41640,43720,60200,63320,58640,77520,56680
"J",81840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51680
"K",82240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57520
"L",91320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69880
"M",96080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74200
"N",108360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86160
"O",87560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90720
"P",82000,65160,74160,47200,42280,58240,50120,19680,53640,40960,57440,37720,60040,56800,47800,65640,68600,58360,45200,47960,61080,51320,65800,69760
