"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",516280,516440,522240,436120,611920,578920,628160,602200,598200,587440,706120,676120,624760,606880,618240,560040,609880,541640,513040,532800,615480,552000,541760,514400
"B",524880,497800,490920,507320,540680,550920,580400,602160,562160,575880,651200,673600,590720,588080,558920,555520,560200,601360,559840,568080,582480,539720,499400,550000
"C",520600,129240,199760,242320,273760,291720,358520,331400,337080,339000,349800,606760,341960,344920,368520,332040,315880,323880,325520,310400,295760,231120,201840,456760
"D",440960,58760,72320,244360,257840,267320,285520,310920,299000,325160,327280,573400,244200,308360,320800,322120,320840,323160,317840,264160,258080,125960,91000,537440
"E",492160,55120,32960,192080,299400,310360,342200,348080,373400,369360,378760,570200,373760,370160,381920,352760,341160,326560,325680,310120,253080,60320,64680,507200
"F",408800,45120,35880,55880,242280,286000,294880,319320,326600,357280,355080,497120,347480,360160,361800,344040,321080,331520,291080,255360,73160,42840,59120,512160
"G",447840,42040,28600,75240,78720,266160,316640,319760,385520,389480,394760,528960,400240,370840,377520,366680,331160,295080,232280,123680,49960,30520,69560,496680
"H",424440,24960,17400,34200,38280,39880,103920,218240,213680,240440,260000,483880,273560,261440,262240,252120,232960,130280,53720,52480,29960,17800,46000,488760
"I",480960,21840,11040,9480,15200,3240,9760,43040,82840,73600,128040,536440,99120,127160,77360,56680,70440,44360,6680,33280,18400,6640,16000,527960
"J",428080,16280,5160,5560,6040,2560,31480,159320,386000,295560,374440,503840,417680,404960,334080,290680,174760,107760,2960,14400,9200,3280,7440,529440
"K",498640,460000,438880,401880,424800,445440,416880,424320,442600,428400,468240,444240,454600,466840,505520,434560,436720,464760,476720,469280,463720,477000,502560,510960
"L",499680,21000,8640,10720,7320,20400,141480,266040,345960,440360,428480,469920,490040,467600,460560,447600,285040,159680,27080,18440,13480,8840,18360,526440
"M",474200,438720,419200,414520,347640,354120,392000,452560,448880,445080,362520,413280,439560,406440,423640,391520,397920,410040,423320,385080,481360,445640,462360,505360
"N",473400,441800,464880,282560,283280,307080,295680,312000,305320,205640,309280,459720,475600,457520,458400,465280,492920,471360,464840,486720,429760,483280,478480,530280
"O",446320,442360,405720,371520,376440,366800,424120,377160,441800,377960,430080,428320,421680,382240,378200,414720,409800,436440,410440,421120,439760,421800,469320,496360
"P",480680,469040,446720,461560,457760,481920,477480,483360,498800,515520,510880,518520,523000,536640,526320,522680,514000,514080,504080,514720,514680,500440,483960,520240
