"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",283240,439800,411600,286720,413520,412960,437600,472040,551920,510360,528080,611640,447280,612560,602320,378320,579440,509960,489360,524720,530440,468200,648200,455760
"B",369280,470840,496000,416760,498040,568160,420800,513560,540200,489360,546080,509160,522640,640680,643600,382080,589880,516400,569600,537960,510480,645840,582000,588360
"C",276480,15040,21440,23240,20400,15240,20640,21440,26120,31880,26960,550400,15840,21760,26080,12360,6040,6640,12600,11240,10480,6440,8440,553680
"D",438240,20000,26920,31600,31120,20640,35560,35000,38880,45160,44720,488280,30680,35240,41360,18400,8440,12720,22400,16320,9720,6800,10920,495240
"E",255800,28400,44160,54160,48360,42400,39480,52920,52960,54440,63080,334680,45320,56520,56480,36480,38440,40800,39560,36400,13720,17920,22040,473120
"F",387040,49360,60200,65800,65120,66680,62920,88120,97200,135440,118840,456160,113120,100920,132960,91600,75840,66560,65600,54480,35680,45440,55560,379000
"G",375000,126240,104240,110360,114480,107280,118960,250200,218000,282760,258080,489320,320040,236520,274040,259160,222040,103240,115600,95760,94840,106840,120120,480000
"H",494200,225280,182600,185400,186800,203680,192240,359600,324960,374720,343120,466360,393640,376680,361840,366360,317520,191760,203680,174760,159400,184240,200760,495600
"I",463200,266480,229600,174040,165320,210000,214880,394320,397160,402720,462840,378600,393200,348040,397320,347400,435240,214560,208720,172600,201600,207440,303400,482240
"J",376760,203320,169760,168520,147280,197120,241040,365840,364920,390280,353400,377240,279720,276080,372320,401600,368200,194760,184800,219240,185000,254040,265520,487440
"K",414800,412720,403680,432400,403760,323880,325520,328160,318440,351200,324000,360880,391800,401760,381080,352440,356720,379320,393400,329040,359440,359160,463920,472240
"L",379800,245480,230360,179520,195960,178080,192240,353680,360240,366440,342400,351920,321520,371800,336080,370760,316920,192280,139080,180600,162840,257760,268800,428880
"M",393120,291720,388800,377000,330600,304160,283320,285960,325600,254440,314440,301040,304360,255480,230440,220520,297720,388240,309560,337960,367600,447480,515120,547040
"N",429880,366160,319680,17560,36720,46040,105360,187200,261760,319600,352720,330280,356720,403520,300320,376000,367000,344160,427120,315760,388680,439200,449320,516040
"O",403120,368600,234080,399240,257240,365960,359800,354120,381680,322200,366600,306520,440000,430960,401000,324480,346080,388800,342280,405440,327760,333320,438640,323800
"P",506000,548720,415440,411800,353600,332440,530760,513360,523240,418800,480640,468840,525680,576720,558160,307760,476360,566400,585520,621080,517440,595680,659880,561560
