"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",777320,712120,714000,713080,790400,749600,729560,735360,750400,720360,840040,887080,1152400,714240,699320,1051640,688320,1051640,667280,681520,701760,706440,560880,743920
"B",779000,586240,611960,634760,625840,616040,632600,629320,644960,726080,605920,582200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718440
"C",729160,682400,672480,663080,677320,657520,672680,814440,639920,688160,725600,678720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716400
"D",722800,686000,803880,756360,683640,693760,657320,749400,667440,670600,657000,659520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687640
"E",713400,784920,644120,659920,830520,645640,684880,679240,645160,669440,631680,654200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706920
"F",714480,656760,697720,668760,691000,660440,667960,652280,614600,631760,663200,626320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,732360
"G",689640,663040,673880,672200,646200,640920,628360,654360,642240,630400,609560,708920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752400
"H",700240,652120,622360,683240,621360,599280,602240,831120,881480,600360,608640,608840,626080,601960,583200,629400,595840,619680,598240,629440,620000,629400,611800,695040
"I",714960,680600,665560,661160,632960,851040,634480,608120,634920,624520,605040,586960,600400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,689200
"J",703120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742160
"K",683880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,721480
"L",692040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724520
"M",714520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685200
"N",705160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,722640
"O",737680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717920
"P",745920,722840,724680,729600,710240,675720,690800,676600,903560,723280,670480,717280,682040,718880,671240,698760,676320,1010120,702280,700920,737160,713800,750760,728920
