"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",591560,603000,607040,637520,642480,678440,619560,633440,628360,612800,652440,640800,646600,630440,661560,626960,618560,669600,622480,639800,607240,610560,614120,650440
"B",622240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625320
"C",598160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612360
"D",579680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629000
"E",599240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610880
"F",585400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,637080
"G",575560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626240
"H",605320,562800,593400,565080,589680,599120,569800,568320,571720,613760,568240,620560,603160,635520,564480,567080,611960,567000,569640,596160,610400,576880,578600,621640
"I",572360,578200,502280,519600,428520,433160,433080,479880,567400,540440,576360,583920,613040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636640
"J",587640,317640,311440,286960,292040,308760,298800,337240,384080,416560,407640,466440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597160
"K",596200,510240,493920,472920,438560,410360,428640,494160,523960,534320,563960,567480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615840
"L",561520,560200,533880,557200,450480,430560,469560,503240,526920,573440,588040,584800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616520
"M",580640,571040,512600,549960,472280,446800,456920,606120,561800,586040,580640,595640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614320
"N",584400,544360,592560,431160,420880,453760,432680,512160,565800,564000,593640,587360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613240
"O",563080,591200,611360,451000,450680,460800,441800,593320,584720,588600,609560,601360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589920
"P",621040,592000,569600,579520,591280,608800,589640,600440,616720,602400,595280,654760,644160,685880,653560,624840,608120,586120,589040,594360,643120,624280,594120,583720
