"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",290040,220560,354000,341280,323680,401920,407640,422400,399160,380520,538000,403400,459360,411960,451800,448920,442760,467000,381880,345880,397840,328040,307480,357720
"B",338120,297560,340240,337840,377240,414240,458400,455960,475520,538680,563880,500800,534120,561480,550520,542560,488080,537480,513640,517120,445000,386480,226720,230640
"C",423560,44080,56000,9680,7720,13880,161320,363360,500160,581640,593160,588320,616200,590120,603320,492440,363240,70480,12960,10880,13320,64080,38040,327000
"D",298240,2440,11800,1360,800,3240,84040,364600,531960,568600,613960,611240,604800,586760,609280,506280,321640,50640,3040,3040,2720,14840,5560,268120
"E",339120,1800,9520,1360,1160,2000,116320,402040,554000,601560,625720,602600,625480,608200,609920,509560,386400,88000,4840,1080,2120,10520,2280,340520
"F",284800,2080,8960,1600,1040,3360,112680,401000,535200,593840,583680,595200,623000,607880,612560,524480,368440,88080,4200,1280,3240,19000,2880,356760
"G",320720,3160,13160,3360,1360,3680,91360,334440,559280,580040,643160,604480,624560,621800,640920,540080,374200,91720,3400,2400,1560,14960,3720,377480
"H",363120,2960,9000,1760,2520,4960,143840,400920,539680,599080,616680,615680,589920,588720,575840,504920,351560,136720,4360,3120,2240,14160,4120,289760
"I",294120,5760,13000,2400,2760,4440,95760,367400,530600,588920,587320,594960,600720,573640,582720,520880,324960,83680,4720,3560,1560,11080,4560,307040
"J",393080,4480,9720,3040,2760,4440,93800,401520,531240,584040,578720,594080,592760,574480,556520,515000,367640,70480,6320,3960,2440,14440,4200,351960
"K",412200,503960,544960,537360,579840,565960,644640,601240,597920,587760,617760,577760,623600,581000,607040,576080,601160,577640,599680,562080,522200,509200,510680,377680
"L",423760,7800,16240,5400,6480,7840,111360,359480,509760,564040,558000,584920,558000,553720,560960,507600,336840,83200,6400,4360,4080,14800,4600,395800
"M",444880,455680,493360,479400,541680,545480,559080,545200,558000,548680,560800,578840,584040,555400,595680,552360,581280,541480,559000,537280,480640,493480,452960,342040
"N",392800,426040,440320,539440,550480,559840,568360,547280,564200,512520,538680,507200,528720,542040,561680,557480,509160,527240,526280,499160,481600,468040,380320,307560
"O",426320,410400,438480,444320,508240,501880,495840,492560,538280,523840,505960,493200,498680,501600,505800,497800,507360,505040,488040,480760,429400,393720,380560,309000
"P",344360,411360,438360,416720,405200,436920,429840,458360,493160,478640,480920,489760,519920,474640,466560,458920,412440,422120,432760,403760,413400,398800,422920,364680
