"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",276920,264080,289440,267760,224560,304080,266200,297680,262680,259560,207560,266480,251400,286120,236320,217280,190640,250800,226840,200280,183000,258920,219840,254760
"B",195520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4560,1800,1840,1320,1240,1400,1800,2560,3720,3280,2680,253080
"C",134880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9920,2240,1840,1440,1920,1640,5080,7240,8400,9760,8680,191880
"D",167640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36680,8000,8000,8240,9040,10120,21480,27960,32680,24560,33680,118000
"E",124160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60480,26320,26680,26240,27560,39520,54600,73080,81800,89600,80360,76880
"F",128960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110520,21640,25360,9480,14280,35000,64840,92040,78600,124200,80640,75720
"G",137640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50800,22200,23320,25720,27840,31600,72000,87840,120040,123920,95800,117320
"H",165960,156520,130520,97120,88040,62880,27720,60640,15240,16120,10240,13600,9080,27000,8680,19560,23600,26840,22600,30560,81200,132160,85400,118320
"I",162320,180320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10720,4960,7480,11320,11960,22520,84560,54040,17920,51960,85840,142520
"J",141360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154400
"K",177680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167560
"L",221200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185760
"M",179320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217560
"N",243320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236840
"O",218880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209560
"P",308120,294800,237400,240200,208520,197000,194160,191720,163200,175920,179240,190160,198240,145200,104680,99240,171560,186080,108680,131280,184800,217160,233400,281440
