"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",442720,460920,453880,412720,456480,504920,528960,517840,542560,496680,546840,498840,520280,522400,530120,503480,547400,507680,493880,477880,451640,417640,439480,455160
"B",436480,456680,419480,403160,482000,489200,504800,510360,493760,538520,535000,532880,511560,511800,531720,498920,514360,517040,500680,476440,454480,424720,382640,441000
"C",442440,288360,279240,271240,293200,309080,353120,442440,487880,491280,538560,548960,501400,514200,501640,476200,442840,342200,313800,298560,289560,279440,299520,416280
"D",447000,278840,246360,260800,290040,312920,355520,448760,467640,507120,496320,550840,483600,504160,505560,468200,445760,351200,305480,288800,286680,269720,265840,435680
"E",441040,262400,272800,274200,293880,306840,356040,466520,513800,5e+05,514880,538640,523920,499560,543680,477320,464560,356200,306800,288760,282000,273240,286160,439920
"F",437480,270440,279080,280360,293960,311560,374840,472600,5e+05,514880,516120,547720,525720,526360,543240,520280,469160,386200,305760,289520,288640,285880,281160,440560
"G",446200,257800,279440,282680,292720,305320,379800,470280,512600,503840,532720,527680,520160,521360,153160,511680,476560,385160,301240,292520,289120,282120,287640,445560
"H",463000,265280,279080,272480,289680,303440,354600,459680,489160,516160,543760,485640,516560,531880,514480,506560,447480,393680,293000,286320,273920,294760,300160,429720
"I",463440,264200,274880,276680,289880,296280,358960,441320,493080,503040,533480,509240,548200,510040,519720,487400,465120,361520,293040,281920,280000,295800,273440,464440
"J",451480,267200,272760,268480,279240,284560,366000,437120,474600,488480,518960,524440,503000,499480,502640,502640,444720,352880,290840,273480,273480,296160,274480,489360
"K",437280,412760,456160,471640,478160,462520,506400,491000,504320,506120,527120,487320,496000,506320,502560,495720,496160,497680,514080,481520,460520,444840,475240,440000
"L",450560,263680,279040,262320,277520,282520,351200,425040,456040,486240,483200,492800,465840,455400,470680,465760,430280,347200,283120,273800,265160,291320,271680,473840
"M",410600,400760,437040,438640,452800,461160,475280,472000,472920,472920,492840,474800,488800,460200,489040,476760,486680,486680,482880,472520,440160,421280,417320,432760
"N",401000,395400,411600,428160,441120,449480,453400,497360,439920,447720,452160,474160,450560,476200,448160,449280,446840,443440,460160,461640,431400,428360,406920,429120
"O",394600,380160,421240,419480,440000,436680,452880,444480,446720,481080,463400,459760,471480,467560,475000,453880,457520,427880,477720,433280,433080,408920,407600,414760
"P",430680,426720,442720,442960,446400,483800,457360,475480,468520,470160,496120,496240,490440,487200,495920,461880,431080,454880,474120,452800,443600,441240,427920,450320
