"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",83240,81720,87280,83800,77040,81960,82320,85360,84720,93360,84120,86880,71440,89680,86040,92080,80680,71280,86760,82920,79360,82280,78880,81240
"B",77880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69320
"C",80520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78800
"D",80800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72960
"E",75560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71360
"F",68480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86680
"G",75680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75360
"H",74120,52600,55280,56800,51680,63120,54360,61560,52280,52040,56200,53600,51720,54600,46640,49440,47360,52120,54200,54760,54040,54320,56760,75160
"I",70280,65080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56960,49400,55320,46440,44680,50560,49960,54600,53280,60160,57520,71000
"J",64920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55520,51560,50160,55880,52320,52480,56840,56280,58720,59800,59960,72560
"K",76440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62080,54000,63160,62520,58960,51040,55560,58880,59320,66240,65920,84440
"L",61040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63520,58080,60320,62440,62240,51080,59040,57240,61560,68920,59480,74680
"M",84520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63320,55120,59360,56400,58080,52000,58800,58120,62480,66880,67080,80920
"N",68200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58240,50440,55760,61440,54920,64400,45480,50800,65000,62600,66680,69400
"O",81920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65960,61120,64360,55640,60800,61680,60520,64760,63760,83520,76960,93080
"P",81560,78400,81520,67920,79120,77320,71080,86280,79280,76680,74200,68400,74200,81720,74400,78040,83080,73160,85080,77720,72080,85960,78280,77760
