"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",516240,352800,449840,463840,370960,378560,443600,436600,461400,372200,406120,388800,324480,461600,426120,410280,324640,207400,218480,312880,248520,379600,347120,374560
"B",204720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319880
"C",428360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338400
"D",316560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451360
"E",305360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376040
"F",191480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342000
"G",331760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298400
"H",399000,215640,200920,395800,331000,353040,289600,355320,261360,296560,223240,240040,324800,255440,211680,210520,348520,332600,275000,203280,276680,390120,371600,402280
"I",318680,324800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306120,37720,77720,8360,15600,29120,12640,70360,167720,273480,260760,388000
"J",358600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270880,22080,25800,11440,2960,53880,13280,61200,163000,256240,273600,400840
"K",249920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263240,23080,12680,17200,6360,16240,10280,30280,191320,374520,292880,281920
"L",239440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297120,25800,8960,14720,8640,38080,11560,51760,145520,244200,222400,240600
"M",269800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281320,31920,31480,13120,21840,17480,19080,70480,177120,317520,421400,460400
"N",225640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286720,34240,64520,24320,16920,28560,14120,102560,183440,289760,208960,343560
"O",441040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196560,43960,47520,31720,25880,31640,35080,69960,232520,408200,280520,287080
"P",218000,451960,426840,271280,339520,348920,262600,155800,191720,234280,124400,138240,195560,151760,135200,314440,242880,278200,141360,331640,253440,221680,471680,455960
