"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",299000,281000,295440,287840,300200,297040,307120,293880,319640,301240,302280,299400,311120,308480,299800,300440,302200,302080,297960,290480,289360,278000,289160,285840
"B",290600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27680,27680,27760,30320,27600,31160,28520,32440,31560,31400,23200,289280
"C",285800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77800,87960,73520,77040,64480,73040,70040,75560,69120,74600,67760,284480
"D",288760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105040,122520,113960,113680,103040,110440,100800,106720,99320,111600,100040,287720
"E",291240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147000,165360,169040,162800,159160,157880,141520,153000,138240,134080,124560,275640
"F",284040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209240,216840,211200,203000,200320,194200,185600,201480,234520,214680,205040,278000
"G",238000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231720,262800,213320,266040,219320,261720,218600,287240,221880,286280,240880,276160
"H",293720,286840,287000,288320,289600,273800,269560,258480,251560,246520,246520,241600,259720,251240,247960,244920,248880,251200,258880,273320,272960,277840,288800,275480
"I",294480,291120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238000,258120,247720,248880,256480,255960,267520,272160,273480,282160,280160,277960
"J",282680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282280
"K",284200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289760
"L",286920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281240
"M",277280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273800
"N",281600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280240
"O",275840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272680
"P",283160,280080,281120,282920,280520,280640,276800,285880,279400,285800,283120,287920,293160,289480,287200,277120,283120,273120,279920,274360,280640,268040,278920,271680
