"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",182320,189480,177360,194160,204240,200120,195520,200160,194640,187880,191240,193800,174400,211040,177080,205400,194800,195360,177360,197040,183560,192640,173280,187920
"B",189640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7720,8200,7560,6040,6640,6360,6440,5640,6520,5320,6400,190480
"C",186680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13760,16040,15360,12240,11280,11800,12160,12840,8920,7480,6280,194960
"D",184440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39080,43480,38960,36200,37840,30080,33960,35560,29400,21400,16520,198640
"E",186840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104800,93000,92000,92720,94600,84640,93400,89360,83200,67920,58720,195720
"F",182960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154160,147080,144400,139520,142160,138800,132680,144200,141200,112840,116200,196760
"G",192280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191040,176400,185760,179800,179880,185480,187680,188320,195560,175080,183600,195080
"H",183040,190000,204360,186480,201720,197680,188000,199120,189240,187720,201800,193440,195960,198880,188880,185960,199120,214560,204880,199880,198520,203920,209840,199920
"I",179240,188200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173600,192040,191120,182320,209840,203640,206120,187560,198640,195960,208520,196920
"J",186400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204080
"K",178640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198320
"L",183240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208080
"M",181920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195640
"N",175600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196960
"O",182880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190640
"P",185000,193680,212760,222360,210240,207720,199600,187680,206000,209200,211040,210160,202040,211120,207280,217080,194520,182640,204880,204240,210120,200040,213000,180680
