"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",394040,259280,273800,421080,494240,323720,416120,253280,250760,264640,312160,409120,263760,262080,371200,266920,392520,254360,565720,326560,500840,246240,395720,531680
"B",493920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18520,27320,20120,29480,22480,25640,23600,25840,26920,23880,20080,504440
"C",445160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59560,74600,48840,68400,49280,58200,56040,55520,52040,65560,50400,274440
"D",436160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73400,96720,108040,88400,96280,75360,79560,80280,79920,88360,119080,343280
"E",473960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129480,157360,126880,156160,118440,139520,144480,133160,122880,142080,155880,256520
"F",393200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162640,240800,218440,243760,174360,159680,177520,253960,216760,266440,257680,449480
"G",390320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228920,341240,403760,420640,268920,448320,410800,422840,246640,429160,292160,257320
"H",425160,382120,362480,288440,354040,335080,400360,339440,244720,394320,387560,279240,229360,348520,391960,334560,349920,371240,336280,229080,380280,410560,456320,259080
"I",459920,354240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368240,239280,403440,346000,367000,242080,465120,324240,394280,385280,419400,423480
"J",524640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550440
"K",492640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455520
"L",454800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253240
"M",453640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407120
"N",396920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289720
"O",496800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506200
"P",454760,490440,245280,377240,240600,266800,396000,250760,245280,254760,252400,259320,438480,246400,442600,286160,353560,406400,450320,428680,420320,362480,393440,274720
