"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",515440,514200,519960,524680,528440,541640,537520,513520,539680,512320,512480,536760,539960,524600,513080,556640,520120,516200,491720,496920,489360,489400,491000,472400
"B",523960,544600,556960,584120,542840,534920,559520,567120,532840,523600,564880,550080,556000,530240,547760,559000,578040,561040,550280,564000,514040,515320,564600,499840
"C",573520,448200,432200,515800,542480,566120,534000,564240,534720,549880,557880,565200,501000,540400,549120,547080,537840,531720,530720,547360,514400,485320,456600,536360
"D",544160,524080,562120,570960,574440,616280,567560,590640,569120,586640,591760,525360,543680,598560,622800,641320,585720,594400,588560,584120,636560,613680,596560,520360
"E",532960,617080,649400,643160,622960,608680,655720,632400,601240,620400,655200,500360,611680,616520,642760,652200,654640,638600,625840,626640,648520,651760,628880,539360
"F",526600,638760,625760,679040,669080,662000,636160,645560,626920,621720,627120,494000,628000,656560,664880,676760,672840,682600,682480,683440,659560,592760,670320,545240
"G",556440,596680,596000,510280,589120,639440,679400,670960,647240,640920,665000,485320,629560,615040,646440,659920,648480,667040,656320,621320,581880,595680,567680,508040
"H",531760,561640,557520,501440,538960,564120,576520,568040,562920,552680,551480,472000,561880,575960,568840,562680,592160,581040,569160,565960,517960,540880,541040,505840
"I",544440,566560,529560,516440,500600,512400,554720,533320,523240,523240,513840,475760,517440,511480,516120,531160,547320,521920,535240,517280,518080,516160,530320,499840
"J",531440,549920,560240,487680,491640,488560,515960,511560,504240,488520,470600,479720,477200,479680,484360,481360,480800,497920,474840,503040,513960,554200,561600,484800
"K",503840,498680,515400,501160,476000,493840,508840,483400,473520,473040,453760,462480,461960,440840,481560,465160,494480,508960,498520,491400,490160,507800,491160,480080
"L",478560,499160,515680,488760,484720,467080,466760,465200,443360,444240,444800,464600,462400,456600,454520,467560,474080,488920,487240,487640,508480,544920,464840,493640
"M",493360,529520,467400,463280,448240,462120,488360,467280,469920,453960,457080,466560,453240,462680,476800,451560,494240,464640,450160,447160,465480,476240,470680,459960
"N",466440,476560,469000,500320,547160,564120,599520,605040,552440,511760,458920,478640,459960,484360,452320,453520,471600,465680,468760,462040,456800,461520,451880,454720
"O",427960,437160,450680,442520,443640,443240,452840,458680,472080,449960,440160,426640,446400,468600,455680,452400,447240,460600,462160,453000,470840,450840,470080,418400
"P",385200,397040,417640,413520,416560,431960,428360,432960,428200,425240,442520,435200,434240,444080,438920,436000,422160,446480,440560,440000,445000,419520,406360,426520
