"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",633120,705680,774840,687200,630120,651160,814000,602120,617440,602000,722680,651720,693880,618560,640320,598560,592160,572280,595520,586880,643040,669560,676280,696440
"B",681280,678600,537960,495280,347440,308400,267920,341480,532760,595040,690840,689960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690040
"C",660160,680920,522360,532840,363680,312280,289240,367040,525560,636960,597960,608400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675320
"D",610360,602120,466720,485080,371760,308480,296800,393880,551120,592600,570800,550640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716560
"E",667440,596000,429320,511440,344560,322520,307520,399320,527880,577840,548680,553280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,727080
"F",590360,550080,536320,512280,368640,298280,278680,390400,503080,571600,530640,498760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,679520
"G",625560,558520,418080,490160,348680,290080,291640,370440,515840,576640,548040,562160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647640
"H",658040,574040,534320,516400,493320,479640,498480,490320,474160,455040,486320,465480,468720,496680,493840,500280,493920,510000,517640,468040,488920,526600,578360,669400
"I",609000,566520,501720,525520,384040,331880,318520,426400,519440,535120,497440,503800,482400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616800
"J",616280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648200
"K",647280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592040
"L",680240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571400
"M",653080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608960
"N",708960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653000
"O",733520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704480
"P",847120,660000,566600,554360,645840,707200,588200,568200,581440,572200,552920,555440,613520,634320,542160,537600,619040,556040,532520,545720,588240,569800,670000,805320
