"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",948800,908080,1294080,920200,894800,948160,52560,934520,913720,927960,11880,954120,939480,933320,936720,916360,912160,880640,880400,877080,883520,914680,959200,990360
"B",860840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900080
"C",877080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,912160
"D",876360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,889040
"E",861040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896560
"F",859840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,916760
"G",836440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,929320
"H",863360,795240,788600,790120,764720,760800,769520,764680,756200,710040,752600,762720,762200,761040,780120,778960,794240,779720,794720,744400,785000,839520,814320,928920
"I",874280,814560,892280,822960,618160,495880,513280,837560,819400,799000,774000,777040,798760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,883600
"J",869680,15280,10240,10120,8760,8280,8200,9880,23800,15640,30040,24800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,874760
"K",867200,274600,341560,254200,325800,327200,356040,255840,280000,235520,239520,267440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,847200
"L",839120,580080,665920,644560,545760,430400,360480,681080,633400,556520,552400,551520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871120
"M",828600,666720,726120,724240,594360,452920,461520,711360,655760,585920,594760,588920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,873360
"N",852440,649760,772200,741680,602440,426400,477320,744360,678440,647920,616000,607480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885320
"O",856680,693320,812320,799880,604840,505840,489720,803360,763200,700480,674160,680120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,872360
"P",910200,819760,817360,813600,827840,832040,823280,828280,817320,828000,805440,841040,836400,814200,840160,833920,862840,856560,840920,845240,833680,835120,881640,987680
